SUBID,Clip Title,Clip Artist,Song-Specific Age,Self-Reported Age of Exposure,Time Period,Self-Selected or Other Selected?
1,Young at Heart,Frank Sinatra,N/A,18,Adolescence,SS
1,The Highway Man,Loreena McKenna,42,N/A,Adulthood,SS
1,Fur Elise,Beethoven,N/A,45,Adulthood,SS
1,Gnossienne No. 1,Erik Satie,N/A,25,Young Adulthood,SS
1,Clare de Lune,Claude Debussy,N/A,35,Adulthood,SS
1,The Sound of Silence,Simon & Garfunkel,9,N/A,Childhood,OS
2,Copperline,James Taylor,38,N/A,Adulthood,SS
2,Ode to Billie Joel,Bobbie Gentry,14,N/A,Adolescence,SS
2,Running Up That Hill,Kate Bush,32,N/A,Adulthood,SS
2,The Boxer,Simon & Garkfunkel,12,N/A,Adolescence,SS
2,Adagio for Strings,Barber,N/A,42,Adulthood,OS
2,The Sound of Silence,Simon & Garfunkel,11,,Childhood,OS
3,Detroit Rock City,Kiss,11,,Childhood,SS
3,Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,8,,Childhood,SS
3,Fight the Good Fight,Allied Forces,16,,Adolescence,SS
3,Panic in Detroit_SCAE,David Bowie,8,,Childhood,SS
3,Limelight,Rush,16,,Adolescence,SS
3,Freewheel Burning,Judas Priest,15,,Adolescence,SS
3,The Sound of Silence,Simon & Garfunkel,N/A,8,Childhood,OS
4,Turn it on Again,Genesis,22,,Young Adulthood,SS
4,Roundabout,Yes,14,,Adolescence,SS
4,Ashes to Ashes,David Bowie,22,,Young Adulthood,SS
4,Seen the Lights Go Out on Broadway,Billy Joel,18,,Adolescence,SS
4,Comfortably Numb_EHER,Pink Floyd,21,,Young Adulthood,SS
4,The Sound of Silence,Simon & Garfunkel,6,,Childhood,OS
4,Nessun Dorma,Puccini,N/A,15,Adolescence,OS
4,Symphony No. 6,Tchaikovsky,N/A,6,Childhood,OS
5,Since You've Been Gone,Aretha Franklin,16,N/A,Adolescence,SS
5,I Never Can Say Goodbye,,19,N/A,Young Adulthood,SS
5,Heat Wave,Martha Reeves & the Vandellas,11,N/A,Childhood,SS
5,You Send Me,Sam Cooke,6,N/A,Childhood,SS
5,Walk on By,Dionne Warwick,12,N/A,Adolescence,SS
5,The Sound of Silence,Simon & Garfunkel,12,N/A,Adolescence,OS
6,Can't Find My Way Home,Bonnie Raitt Lowell George,21,N/A,Young Adulthood,SS
6,At Last,Etta James,9,N/A,Childhood,SS
6,Something So Right,Paul Simon,22,N/A,Young Adulthood,SS
6,Sir Duke,Stevie Wonder,25,N/A,Young Adulthood,SS
6,What Was it You Wanted,Bob Dylan,38,N/A,Adulthood,SS
6,The Sound of Silence,Simon & Garfunkel,13,N/A,Adolescence,OS
7,Dancing Queen,ABBA,32,N/A,Adulthood,SS
7,Take a Chance on Me,ABBA,33,N/A,Adulthood,SS
7,Footloose,Kenny Loggins,40,N/A,Adulthood,SS
7,Beautiful Noise,Neil Diamond,32,N/A,Adulthood,SS
7,Y.M.C.A.,Village People,34,N/A,Adulthood,SS
7,The Sound of Silence,Simon & Garfunkel,20,,Young Adulthood,OS
7,Symphony No. 6,Tchaikovsky,N/A,18,Adolescence,OS
8,Sultans of Swing,Dire Straight,15,N/A,Adolescence,SS
8,My Old School,Steely Dan,10,N/A,Childhood,SS
8,Comfortably Numb_FKEE,Pink Floyd,16,N/A,Adolescence,SS
8,Black Magic Woman,Santana,7,N/A,Childhood,SS
8,Jessica,The Allman Brothers Band,10,N/A,Childhood,SS
8,Hotel California,The Eagles,13,N/A,Adolescence,SS
8,Hurt,Johnny Cash,40,N/A,Adulthood,OS
8,The Sound of Silence,Simon & Garfunkel,1,N/A,Childhood,OS
9,He Called Me Baby,Candi Staton,20,N/A,Young Adulthood,SS
9,Unchained Melody,Gheorghe Zamfir,40,N/A,Adulthood,SS
9,Immigrant Song,Led Zeppelin,19,N/A,Adolescence,SS
9,Hey Jude,The Beatles,19,N/A,Adolescence,SS
9,That's How I Got to Memphis,Tom T. Hall,17,N/A,Adolescence,SS
9,The Sound of Silence,Simon & Garfunkel,13,N/A,Adolescence,OS
10,Life on Mars,David Bowie,18,N/A,Adolescence,SS
10,Panic in Detroit_GHER,David Bowie,20,N/A,Young Adulthood,SS
10,Stay,David Bowie,23,N/A,Young Adulthood,SS
10,Long Distance Run Around,Yes,18,N/A,Adolescence,SS
10,Michelle,The Beatles,12,N/A,Adolescence,SS
11,As Time Goes By,Dooley Wilson,2,N/A,Childhood,SS
11,Evergreen,Barbra Streisand,35,N/A,Adulthood,SS
11,In the Ghetto,Elvis Presley,28,N/A,Adulthood,SS
11,Lonesome Tonight,Elvis Presley,19,N/A,Young Adulthood,SS
11,Loving You,Elvis Presley,16,N/A,Adolescence,SS
11,The Sound of Silence,Simon & Garfunkel,23,N/A,Young Adulthood,OS
12,Enormous Tots,Carla Bley,21,N/A,Young Adulthood,SS
12,Small Circle of Friends,Phil Ochs,14,N/A,Adolescence,SS
12,The Crucifixion,Phil Ochs,14,N/A,Adolescence,SS
12,Tomorrow Never Knows,Phil Collins,28,N/A,Adulthood,SS
12,WakaJawaka,Frank Zappa,19,N/A,Young Adulthood,SS
12,The Sound of Silence,Simon & Garfunkel,11,N/A,Childhood,OS
13,I Can't Get No Satisfaction,The Rolling Stones,4,N/A,Childhood,SS
13,Smells Like Teen Spirit,Nirvana,30,N/A,Adulthood,SS
13,Once in a Lifetime,Talking Heads,20,N/A,Young Adulthood,SS
13,Stairway to Heaven,Aerosmith,10,N/A,Childhood,SS
