SUBID,CONN_ID,stim_number,stim_name,artist,yearofrelease,liking,yearofbirth,familiarity,SSA,age_report,age_bin,TR_onset,second_onset,memory-evoking?,stim_order
FKEE,1,1,He Called Me Baby,Candi Staton,1971,,1963,4,8,,childhood,601,285.475,,11
FKEE,1,2,Moon River,Frank Ocean,2018,,1963,4,55,,,181,85.975,,4
FKEE,1,3,Unchained Melody,Gheorghe Zamfir,1991,,1963,4,28,,adulthood,721,342.475,,13
FKEE,1,4,Immigrant Song,Led Zeppelin,1970,,1963,4,7,,childhood,661,313.975,,12
FKEE,1,5,Hey Jude,The Beatles,1970,,1963,4,7,,childhood,841,399.475,,15
FKEE,1,6,That's How I Got to Memphis,Tom T. Hall,1968,,1963,4,5,,childhood,961,456.475,,17
FKEE,1,7,Adagio for Strings,Barber,,,1963,1,,,,1321,627.475,,23
FKEE,1,8,Symphony No. 2 Finale,Mahler,,,1963,3,,,,361,171.475,,7
FKEE,1,9,Cavatina Op. 130,Beethoven,,,1963,2,,,,1261,598.975,,22
FKEE,1,10,John Wayne Gacy Jr.,Sufjan Stevens,,,1963,2,,,,1021,484.975,,18
FKEE,1,11,Hurt,Johnny Cash,2003,,1963,4,40,,adulthood,781,370.975,,14
FKEE,1,12,The Sound of Silence,Simon & Garfunkel,1964,,1963,4,1,,childhood,481,228.475,,9
FKEE,1,13,Reckoner,Radiohead,,,1963,2,,,,241,114.475,,5
FKEE,1,14,Nocturne in C Sharp minor,Chopin,,,1963,1,,,,901,427.975,,16
FKEE,1,15,Nessun Dorma,Bocelli,,,1963,2,,,,121,57.475,,3
FKEE,1,16,Symphony No. 6 mvmt 1,Tchaikovsky,,,1963,2,,,,301,142.975,,6
FKEE,1,17,Bohlen-Pierce Pan Flute Folk Tune,Arturo Grolimund,,,1963,1,,,,1141,541.975,,20
FKEE,1,18,Hoquetus II,Johannes Kretz,,,1963,1,,,,1081,513.475,,19
FKEE,1,19,Reminiscences,Steven Yi,,,1963,1,,,,61,28.975,,2
FKEE,1,20,Beyond the Horizon,Georg Hajdu,,,1963,1,,,,1201,570.475,,21
FKEE,1,21,When the Moon Casts Shadows,Hubert Ho,,,1963,2,,,,1381,655.975,,24
FKEE,1,22,Simmer,Hubert Ho,,,1963,2,,,,1,0.475,,1
FKEE,1,23,Vertigo Temporum,Hubert Ho,,,1963,1,,,,421,199.975,,8
FKEE,1,24,Manual Labor,Hubert Ho,,,1963,2,,,,541,256.975,,10
JSCH,2,1,Sultans of Swing,Dire Straight,1978,,1951,1,,,,1321,627.475,,23
JSCH,2,2,My Old School,Steely Dan,1973,,1951,4,22,,adulthood,841,399.475,,15
JSCH,2,3,Comfortably Numb,Pink Floyd,1979,,1951,1,,,,61,28.975,,2
JSCH,2,4,Black Magic Woman,Santana,1970,,1951,4,19,,,181,85.975,,4
JSCH,2,5,Jessica,The Allman Brothers Band,1973,,1951,4,22,,adulthood,1381,655.975,,24
JSCH,2,6,Hotel California,The Eagles,1976,,1951,1,,,,481,228.475,,9
JSCH,2,7,Adagio for Strings,Barber,,,1951,2,,,,901,427.975,,16
JSCH,2,8,Symphony No. 2 Finale,Mahler,,,1951,1,,,,301,142.975,,6
JSCH,2,9,Cavatina Op. 130,Beethoven,,,1951,1,,,,421,199.975,,8
JSCH,2,10,John Wayne Gacy Jr.,Sufjan Stevens,,,1951,1,,,,601,285.475,,11
JSCH,2,11,Hurt,Johnny Cash,,,1951,1,,,,361,171.475,,7
JSCH,2,12,The Sound of Silence,Simon & Garfunkel,1964,,1951,4,13,,adolescence,1081,513.475,,19
JSCH,2,13,Reckoner,Radiohead,,,1951,1,,,,1021,484.975,,18
JSCH,2,14,Nocturne in C Sharp minor,Chopin,,,1951,1,,,,241,114.475,,5
JSCH,2,15,Nessun Dorma,Bocelli,,,1951,1,,,,661,313.975,,12
JSCH,2,16,Symphony No. 6 mvmt 1,Tchaikovsky,,,1951,2,,,,1261,598.975,,22
JSCH,2,17,Bohlen-Pierce Pan Flute Folk Tune,Arturo Grolimund,,,1951,1,,,,1201,570.475,,21
JSCH,2,18,Hoquetus II,Johannes Kretz,,,1951,1,,,,961,456.475,,17
JSCH,2,19,Reminiscences,Steven Yi,,,1951,1,,,,1,0.475,,1
JSCH,2,20,Beyond the Horizon,Georg Hajdu,,,1951,1,,,,121,57.475,,3
JSCH,2,21,When the Moon Casts Shadows,Hubert Ho,,,1951,1,,,,1141,541.975,,20
JSCH,2,22,Simmer,Hubert Ho,,,1951,1,,,,781,370.975,,14
JSCH,2,23,Vertigo Temporum,Hubert Ho,,,1951,1,,,,721,342.475,,13
JSCH,2,24,Manual Labor,Hubert Ho,,,1951,1,,,,541,256.975,,10
LGEN,3,1,Young at Heart,Frank Sinatra,,,1955,4,,18,adolescence,601,285.475,,11
LGEN,3,2,Gnossienne,Erik Satie,,,1955,4,,40,adulthood,121,57.475,,3
LGEN,3,3,Clare de Lune,Debussy,,,1955,4,,45,adulthood,1081,513.475,,19
LGEN,3,4,Fur Elise,Beethoven,,,1955,4,,45,adulthood,1261,598.975,,22
LGEN,3,5,The Highway Man,Loreena McKenna,,,1955,4,,25,adulthood,61,28.975,,2
LGEN,3,6,The Hours,Philip Glass,,,1955,4,,35,adulthood,901,427.975,,16
LGEN,3,7,Adagio for Strings,Barber,,,1955,3,,,,1141,541.975,,20
LGEN,3,8,Symphony No. 2 Finale,Mahler,,,1955,3,,,,841,399.475,,15
LGEN,3,9,Cavatina Op. 130,Beethoven,,,1955,3,,,,961,456.475,,17
LGEN,3,10,John Wayne Gacy Jr.,Sufjan Stevens,,,1955,2,,,,541,256.975,,10
LGEN,3,11,Hurt,Johnny Cash,,,1955,2,,30,adulthood,721,342.475,,13
LGEN,3,12,The Sound of Silence,Simon & Garfunkel,,,1955,4,,10,childhood,1381,655.975,,24
LGEN,3,13,Reckoner,Radiohead,,,1955,2,,,,781,370.975,,14
LGEN,3,14,Nocturne in C Sharp minor,Chopin,,,1955,4,,,,1021,484.975,,18
LGEN,3,15,Nessun Dorma,Bocelli,,,1955,2,,,,481,228.475,,9
LGEN,3,16,Symphony No. 6 mvmt 1,Tchaikovsky,,,1955,3,,,,421,199.975,,8
LGEN,3,17,Bohlen-Pierce Pan Flute Folk Tune,Arturo Grolimund,,,1955,1,,,,241,114.475,,5
LGEN,3,18,Hoquetus II,Johannes Kretz,,,1955,1,,,,361,171.475,,7
LGEN,3,19,Reminiscences,Steven Yi,,,1955,3,,,,1321,627.475,,23
LGEN,3,20,Beyond the Horizon,Georg Hajdu,,,1955,2,,,,1201,570.475,,21
LGEN,3,21,When the Moon Casts Shadows,Hubert Ho,,,1955,3,,,,661,313.975,,12
LGEN,3,22,Simmer,Hubert Ho,,,1955,2,,,,1,0.475,,1
LGEN,3,23,Vertigo Temporum,Hubert Ho,,,1955,2,,,,301,142.975,,6
LGEN,3,24,Manual Labor,Hubert Ho,,,1955,1,,,,181,85.975,,4
190904GHER1,4,1,Life on Mars,David Bowie,1971,,1953,3,18,,adolescence,1,0.475,,1
190904GHER1,4,2,Eleanor Rigby,Cody Fry,2021,,1953,3,68,,,1321,627.475,,23
190904GHER1,4,3,Panic in Detroit,David Bowie,1973,,1953,2,20,,,301,142.975,,6
190904GHER1,4,4,Stay  ,David Bowie,1976,,1953,1,23,,adulthood,1081,513.475,,19
190904GHER1,4,5,Long Distance Run Around,Yes,1971,,1953,3,18,,adolescence,721,342.475,,13
190904GHER1,4,6,Michelle,The Beatles,1965,,1953,2,12,,childhood,541,256.975,,10
190904GHER1,4,7,Adagio for Strings,Barber,,,1953,4,,,,421,199.975,,8
190904GHER1,4,8,Symphony No. 2 Finale,Mahler,,,1953,2,,,,601,285.475,,11
190904GHER1,4,9,Cavatina Op. 130,Beethoven,,,1953,2,,,,481,228.475,,9
190904GHER1,4,10,John Wayne Gacy Jr.,Sufjan Stevens,,,1953,2,,,,181,85.975,,4
190904GHER1,4,11,Hurt,Johnny Cash,,,1953,1,,,,1201,570.475,,21
190904GHER1,4,12,The Sound of Silence,Simon & Garfunkel,1964,,1953,3,11,,childhood,781,370.975,,14
190904GHER1,4,13,Reckoner,Radiohead,,,1953,1,,,,1021,484.975,,18
190904GHER1,4,14,Nocturne in C Sharp minor,Chopin,,,1953,3,,,,841,399.475,,15
190904GHER1,4,15,Nessun Dorma,Bocelli,,,1953,2,,,,241,114.475,,5
190904GHER1,4,16,Symphony No. 6 mvmt 1,Tchaikovsky,,,1953,1,,,,1261,598.975,,22
190904GHER1,4,17,Bohlen-Pierce Pan Flute Folk Tune,Arturo Grolimund,,,1953,2,,,,961,456.475,,17
190904GHER1,4,18,Hoquetus II,Johannes Kretz,,,1953,2,,,,901,427.975,,16
190904GHER1,4,19,Reminiscences,Steven Yi,,,1953,2,,,,1381,655.975,,24
190904GHER1,4,20,Beyond the Horizon,Georg Hajdu,,,1953,2,,,,661,313.975,,12
190904GHER1,4,21,When the Moon Casts Shadows,Hubert Ho,,,1953,2,,,,121,57.475,,3
190904GHER1,4,22,Simmer,Hubert Ho,,,1953,2,,,,1141,541.975,,20
190904GHER1,4,23,Vertigo Temporum,Hubert Ho,,,1953,2,,,,61,28.975,,2
190904GHER1,4,24,Manual Labor,Hubert Ho,,,1953,2,,,,361,171.475,,7
