,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NaN,0.772425306,0.765638354,0.731640249,0.370090506,0.412382203,0.706359206,0.477668901,0.176608244,0.042948506,0.006129101,-0.040949391,-0.133802308,0.176851584,0.013497714,0.009668302,0.52125468,0.506762348,0.117372615,0.251485033,0.070768112,0.13519323,-0.018893096,-0.091188497,0.086789855,0.240175765,0.187063981,0.06839921,0.171254758,0.061679039,0.230835032,0.169926459,0.055050591,0.216291885,0.363287084,0.403667411
aSTGl,0.772425306,NaN,0.769363504,0.715957713,0.322470352,0.487079006,0.702345416,0.483660646,0.159018584,0.040561304,0.026486506,-0.14233024,-0.137293815,0.127617385,0.124539134,-0.019673847,0.47142812,0.580004531,0.160123041,0.260271952,0.144623292,0.148286645,0.032816981,0.035589854,0.174095475,0.267159515,0.246374495,0.221096136,0.199667733,0.065283159,0.293254942,0.194484399,0.128522833,0.217274596,0.352408661,0.438418485
pSTGr,0.765638354,0.769363504,NaN,0.804555546,0.364432697,0.410140586,0.717252677,0.503963376,0.220323256,0.138807595,-0.028063544,-0.119333325,-0.176039087,0.198518329,0.045965696,-0.052782581,0.413806924,0.484882377,0.128366065,0.275511438,0.13579641,0.202373808,-0.076915636,-0.017652562,0.232467181,0.339745332,0.184685747,0.126682987,0.145881285,0.103718582,0.223673899,0.116017477,0.032675445,0.20108259,0.325469762,0.376298201
pSTGl,0.731640249,0.715957713,0.804555546,NaN,0.273843243,0.43137501,0.631669667,0.463990071,0.152105065,0.068947434,-0.03716552,-0.17463824,-0.129424943,0.154978143,0.069153422,-0.062797943,0.482243978,0.566617024,0.185432817,0.282605596,0.127540378,0.164709081,-0.139975643,0.023389294,0.262038268,0.294778485,0.195079084,0.129354296,0.212929807,0.191670438,0.311192823,0.173508656,0.132819937,0.216411291,0.323631398,0.408297071
aMTGr,0.370090506,0.322470352,0.364432697,0.273843243,NaN,0.499623304,0.393712598,0.267276256,0.130275166,0.028107547,-0.00083503,-0.033527275,-0.020874891,0.2398553,0.336722096,0.270605998,0.137103495,0.124121752,0.144519879,0.176143042,-0.05561455,0.067377324,0.054402567,-0.016806815,0.152605108,0.270109869,0.016291037,0.077930611,0.216872771,-0.038848867,0.278871979,0.048183817,0.081171198,0.280313346,0.278759947,0.298619298
aMTGl,0.412382203,0.487079006,0.410140586,0.43137501,0.499623304,NaN,0.418759074,0.426789135,0.035530105,0.012464652,-0.131141204,-0.174980241,-0.027255152,0.054286202,0.382516921,0.238379252,0.262079253,0.243569282,0.184623837,0.237492188,0.045204757,0.105253732,-0.040724629,0.01846277,0.207260789,0.27642235,0.125992024,0.207318173,0.113340951,0.032455342,0.378964155,0.131367776,0.161267181,0.287135149,0.292226742,0.467465947
pMTGr,0.706359206,0.702345416,0.717252677,0.631669667,0.393712598,0.418759074,NaN,0.639023376,0.289708448,0.196228032,0.031539965,0.001768926,0.10148963,0.322468076,0.126792192,0.006524166,0.410686637,0.401716563,0.104476796,0.284657767,0.129475235,0.202627094,0.055193383,0.006648806,0.218237302,0.269925813,0.235685016,0.142383031,0.216671644,0.02674078,0.328608402,0.20618389,0.154253923,0.285495855,0.419279862,0.464618491
pMTGl,0.477668901,0.483660646,0.503963376,0.463990071,0.267276256,0.426789135,0.639023376,NaN,0.220674873,0.298939606,-0.010332093,0.118119555,0.089316623,0.369653356,0.332668738,0.117604289,0.340846623,0.292368497,0.135432526,0.275764392,0.161072013,0.249630545,0.059364882,-0.12633596,0.151961171,0.233367661,0.04671737,0.202032604,0.163655503,0.016214002,0.441007369,0.167591953,0.059236056,0.262693233,0.328772441,0.479077569
toMTGr,0.176608244,0.159018584,0.220323256,0.152105065,0.130275166,0.035530105,0.289708448,0.220674873,NaN,0.476919945,0.233705651,0.218257244,0.092047772,0.183336703,0.052108653,0.103999759,0.338199791,0.261679561,0.06526991,0.098129632,0.275210869,0.277639423,0.106186139,-0.032637497,0.099065754,0.04950896,0.034271796,0.080843558,-0.000130941,0.052068075,0.10206547,0.33099577,0.297631002,0.114823121,0.286193908,0.207388794
toMTGl,0.042948506,0.040561304,0.138807595,0.068947434,0.028107547,0.012464652,0.196228032,0.298939606,0.476919945,NaN,0.227900496,0.280601791,0.20799558,0.25135034,0.059712975,0.020759712,0.197066108,0.159349792,-0.037589339,0.013384034,0.26816498,0.298011565,0.066663803,-0.014924458,-0.003077125,0.045912702,-0.014563034,0.084816565,-0.045519196,-0.093162594,0.083400649,0.302396939,0.128827982,-0.028042572,0.167336311,0.169830014
