,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NaN,0.771491212,0.758546506,0.694528417,0.495094992,0.30281357,0.468873131,0.327291879,0.127613545,-0.020723732,-0.235427566,0.022965287,-0.245813657,-0.040944025,0.126300679,-0.016529552,0.5464886,0.689669005,0.097302298,0.124704189,0.161695578,0.136666122,0.008834517,0.236362795,0.145911926,0.247762295,0.233959654,0.281731522,0.319019841,0.129107325,-0.047110721,0.237905161,0.13067178,0.095184828,0.094052775,0.103015916
aSTGl,0.771491212,NaN,0.723233314,0.719818777,0.335258306,0.276105483,0.37501484,0.182191223,0.134986648,-0.025416823,-0.261067385,-0.050264796,-0.176183266,-0.065306253,0.040778196,0.013208272,0.468022453,0.610418928,0.160033571,0.185091304,0.182807654,0.192382924,0.036591091,0.309387617,0.305860704,0.400399595,0.217186697,0.263029978,0.265665532,0.08851174,0.02499731,0.167994345,0.175052492,0.004871423,0.167385164,0.118458921
pSTGr,0.758546506,0.723233314,NaN,0.711916069,0.381573978,0.20013987,0.51076405,0.310218233,0.175524997,0.025932238,-0.181064717,0.109082618,-0.154573862,0.005571884,0.050883841,-0.017861642,0.592384172,0.675828456,0.158774446,0.146704183,0.230504663,0.235786067,-0.021423341,0.142182981,0.306587009,0.246446966,0.270833902,0.28426537,0.230289833,0.232949555,0.070877571,0.224022876,0.177208134,0.08034159,0.165952117,0.228054906
pSTGl,0.694528417,0.719818777,0.711916069,NaN,0.468442629,0.33695756,0.493677707,0.335818493,0.092518821,-0.029522597,-0.257129292,-0.088959252,-0.125472273,-0.010605908,0.119381423,0.070460689,0.483263153,0.516320886,0.179272859,0.180270022,0.209589607,0.18144013,-0.03261843,0.32508739,0.352384069,0.304627449,0.173706865,0.236066485,0.383385976,0.242985096,0.164395593,0.112988157,0.057296634,0.057533152,0.218601458,0.196109172
aMTGr,0.495094992,0.335258306,0.381573978,0.468442629,NaN,0.437579925,0.443783828,0.394607809,0.053438396,-0.049321884,-0.141529182,-0.101216342,0.079099991,0.033408456,0.354374139,0.253881303,0.334067342,0.28553913,0.162267124,0.103700978,0.101422716,0.133157268,0.152798411,0.292506705,0.235238871,0.322032176,0.059047137,0.208212943,0.351671926,0.128164735,0.020698537,0.118060322,0.075671826,0.187005003,0.166281501,0.13465385
aMTGl,0.30281357,0.276105483,0.20013987,0.33695756,0.437579925,NaN,0.309272847,0.564526711,-0.053208696,-0.019023622,-0.087964835,0.011478267,0.129125927,-0.057815971,0.329519616,0.329729955,0.104510997,0.014567324,0.025733325,0.071442179,-0.026224164,-0.113298062,0.168824954,0.086387666,0.162925636,0.215728682,-0.129760049,0.161790268,0.129034942,-0.165703388,0.046182069,0.063118008,-0.130562613,0.15776839,0.022443869,0.15005379
pMTGr,0.468873131,0.37501484,0.51076405,0.493677707,0.443783828,0.309272847,NaN,0.617143593,0.136532218,0.065426253,-0.041469576,0.249052879,0.219865868,0.361613856,0.117264789,-0.006070024,0.461354023,0.340909768,0.219060233,0.131797431,0.020761125,0.121544564,0.022827833,0.042165225,0.107615125,0.083617969,0.273656574,0.261125064,0.165119965,0.271135346,0.296997748,0.236446963,0.17486323,0.503968318,0.433155918,0.360798405
pMTGl,0.327291879,0.182191223,0.310218233,0.335818493,0.394607809,0.564526711,0.617143593,NaN,0.168959348,0.249147742,0.198561887,0.242555121,0.26597346,0.323140252,0.357434395,0.320033016,0.227328351,0.14470944,0.149576369,0.099979601,-0.025060214,0.023611564,0.067590902,-0.06999988,0.014787413,-0.036773899,-0.040037167,0.158444826,0.13361196,0.081791252,0.28692479,0.163820047,0.053425299,0.449163616,0.362578396,0.453674353
toMTGr,0.127613545,0.134986648,0.175524997,0.092518821,0.053438396,-0.053208696,0.136532218,0.168959348,NaN,0.625586424,0.373352388,0.321100215,-0.029416681,0.286408824,-0.083933752,-0.110189911,0.274194315,0.261646953,0.260616907,0.355971465,0.263724776,0.39950964,0.035567257,0.178947998,0.100272762,-0.129569699,-0.071631666,-0.047969185,0.180256042,0.276024102,0.001996145,0.254437099,0.370175521,0.197619183,0.155608236,0.010342553
toMTGl,-0.020723732,-0.025416823,0.025932238,-0.029522597,-0.049321884,-0.019023622,0.065426253,0.249147742,0.625586424,NaN,0.539187231,0.360393313,0.111847749,0.140008655,-0.018210495,-0.105380955,0.16152341,0.125382076,0.204642582,0.34795143,0.260523472,0.472189406,-0.052385755,0.091148674,-0.02809695,-0.20619186,-0.111651143,0.015381781,0.003577488,0.186748173,0.068671785,0.267873651,0.327817951,0.189180872,0.162578448,0.125381342
toITGr,-0.235427566,-0.261067385,-0.181064717,-0.257129292,-0.141529182,-0.087964835,-0.041469576,0.198561887,0.373352388,0.539187231,NaN,0.460058412,0.438381967,0.189016505,0.055901862,-0.029129689,-0.01890928,-0.101926672,0.119224675,0.172619033,0.246238898,0.343058704,-0.002291773,-0.003050929,-0.112238739,-0.231746848,-0.10463285,-0.002646045,-0.135956495,0.125554631,0.097255956,0.179189842,0.215549094,0.055291171,0.105603058,0.134864903
toITGl,0.022965287,-0.050264796,0.109082618,-0.088959252,-0.101216342,0.011478267,0.249052879,0.242555121,0.321100215,0.360393313,0.460058412,NaN,0.20286112,0.279406619,0.015893893,-0.052008563,0.10795084,0.096450054,0.085732811,0.157798922,0.166683646,0.049695484,0.065326601,-0.155353687,-0.034249705,-0.157883434,-0.147571645,-0.075681712,0.048209471,0.217126642,0.125259749,0.183640413,0.13103918,0.289417523,0.126281007,0.129619582
