,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NA,1.00396587,1.090597886,0.818166669,0.371885596,0.357317887,0.870347073,0.570459146,0.230066706,0.215194581,-0.049191492,0.08443235,0.168943023,0.588280033,0.173386997,0.276383085,0.84688728,0.471363804,0.165404564,0.298492665,0.259666475,0.279468549,-0.103555128,0.2712851,0.402912058,0.436142303,0.604341381,0.235873462,0.338877949,0.235040821,0.300128576,0.477089564,0.544053951,0.294658722,0.660225566,0.70061058
aSTGl,1.00396587,NA,0.935061491,1.104866688,0.592918902,0.666291507,0.747466692,0.954629128,0.317814876,0.09392831,0.150186572,0.03101711,0.211904674,0.333233601,-0.127885078,0.013720805,0.746159201,0.623907258,0.029885962,0.383015545,0.149171003,0.265619339,-0.041015926,0.117626305,0.444867443,0.513953703,0.566261229,0.14823434,0.49170869,0.32777226,0.219914018,0.361573386,0.32255652,0.395558238,0.502414079,0.796753524
pSTGr,1.090597886,0.935061491,NA,0.907641674,0.369047666,0.237857653,1.004752999,0.595698345,0.299390898,0.186838283,-0.064296908,0.213412835,0.106985768,0.617673167,0.263206249,0.345038085,0.720118127,0.651077742,0.137115093,0.167084028,-0.013359166,0.105086024,-0.052499105,0.210530452,0.361345918,0.299417086,0.55456291,0.278727151,0.176877608,0.224401342,0.299623075,0.55245038,0.483774901,0.205323725,0.593439395,0.605926699
pSTGl,0.818166669,1.104866688,0.907641674,NA,0.616230838,0.536873159,0.730942017,0.809372502,0.630811786,0.324442737,0.037545495,0.145435152,0.241659904,0.272197472,-0.103046253,0.124792577,0.722879337,0.698503767,0.28556023,0.371624449,0.096391664,0.300699912,-0.078908047,0.099409061,0.491754606,0.459942986,0.402894943,0.203935808,0.453079613,0.350570295,0.283688799,0.556359315,0.427420217,0.400321998,0.640771955,0.758520602
aMTGr,0.371885596,0.592918902,0.369047666,0.616230838,NA,0.684210685,0.404289099,0.731036178,0.414238985,0.477445367,-0.058720929,0.040629317,0.040942442,-0.100831169,0.214272339,0.483739675,0.410827639,0.418417791,0.098389553,0.234602836,0.17358766,0.145874266,0.022950484,0.083865471,0.170294116,0.29595055,0.107923074,0.37857005,0.439462111,0.187287598,0.394618162,0.343562565,0.426428179,0.424464213,0.269146894,0.572191806
aMTGl,0.357317887,0.666291507,0.237857653,0.536873159,0.684210685,NA,0.499296333,0.693357714,0.164866963,0.235739428,-0.069012854,-0.461142119,-0.009483158,0.06292109,0.276762261,0.056007052,0.362718293,0.42327387,0.091992726,0.274071112,0.128230364,0.068107058,0.057892565,0.002770592,0.135671367,0.342715928,0.19758009,0.236730067,0.302980513,-0.009371788,0.478270796,0.162497046,0.572022903,0.32230093,0.447458588,0.813587828
pMTGr,0.870347073,0.747466692,1.004752999,0.730942017,0.404289099,0.499296333,NA,1.058552404,0.45800879,0.318527919,0.159741129,0.338568268,0.380514392,0.732993282,0.239711642,0.36269103,0.517273664,0.335354106,0.129964302,0.13218388,-0.031432033,0.096554874,0.031743115,0.035870486,0.319302827,0.272343064,0.502136454,0.142177258,0.108260348,0.070479492,0.524974645,0.490188745,0.482548777,0.543243459,0.759719482,0.688639608
pMTGl,0.570459146,0.954629128,0.595698345,0.809372502,0.731036178,0.693357714,1.058552404,NA,0.283184949,0.430352826,0.228898138,0.109046129,0.472166199,0.581539713,0.066054265,0.262110794,0.403673123,0.365484173,0.027394104,0.368647802,0.14188816,0.377855867,0.04130081,0.114534565,0.256495051,0.153384329,0.234262868,0.147021404,0.207728096,0.163563531,0.388278672,0.354827779,0.250261806,0.58439578,0.641541773,0.828060558
toMTGr,0.230066706,0.317814876,0.299390898,0.630811786,0.414238985,0.164866963,0.45800879,0.283184949,NA,0.845831837,0.468970341,0.836559942,0.226365042,0.197913277,0.210578845,0.251542906,0.359500032,0.356181957,0.191667662,0.121335675,0.06396685,0.102160813,-0.031499769,-0.236198553,0.358645965,0.139951205,0.378150169,0.267168051,0.339054058,0.120535278,0.287989476,0.232256518,0.527374568,0.645278516,0.282942672,0.223137029
toMTGl,0.215194581,0.09392831,0.186838283,0.324442737,0.477445367,0.235739428,0.318527919,0.430352826,0.845831837,NA,0.470956774,0.48207775,0.408754808,0.07788989,0.237922649,0.453454903,0.264163944,0.183362646,0.204047652,0.124103683,0.280661624,0.335178187,0.271756929,-0.071995253,0.003727428,0.061032679,0.174226568,0.267131489,0.063917058,0.131142181,0.268053486,0.748624625,0.765414946,0.374065289,0.398276918,0.244283464
