,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NaN,0.630681184,0.699331979,0.577515228,0.29600836,0.311215682,0.632735854,0.428774967,0.226388645,0.204011131,-0.024528076,0.070951548,0.153118181,0.396844773,0.126239345,0.234542432,0.598215441,0.351572985,0.148652619,0.237925912,0.23082224,0.210403842,-0.07690706,0.155492828,0.256294683,0.345974244,0.480343627,0.183035659,0.257492669,0.185176209,0.235986276,0.37339167,0.42615295,0.267527751,0.51694228,0.521226331
aSTGl,0.630681184,NaN,0.543079564,0.737307199,0.353496469,0.480609958,0.542999388,0.608832296,0.275692623,0.091368333,0.122046893,0.035416095,0.17228518,0.255608904,-0.099492996,0.023716016,0.577066498,0.461153321,0.037230602,0.254649166,0.17159852,0.237068324,-0.040548074,0.086684989,0.358047723,0.363580013,0.405466572,0.120133195,0.361184948,0.29169974,0.195691361,0.303606545,0.275850489,0.335651474,0.398362743,0.569617925
pSTGr,0.699331979,0.543079564,NaN,0.5830794,0.269899599,0.212976622,0.706777394,0.324049144,0.247013985,0.150588999,-0.034567428,0.177668579,0.108389979,0.407205723,0.171612983,0.210811662,0.548275401,0.465967228,0.126893123,0.119242789,0.007156578,0.088346286,-0.03240845,0.137527685,0.289893647,0.234519361,0.402589579,0.202180751,0.15661618,0.189584308,0.236467526,0.410042703,0.357867218,0.17018165,0.435416926,0.429520681
pSTGl,0.577515228,0.737307199,0.5830794,NaN,0.438378638,0.432451186,0.570181782,0.585924837,0.47766522,0.295811002,0.033302819,0.109191029,0.182685998,0.18474031,-0.083168186,0.081984359,0.487110268,0.534097718,0.21782544,0.309771911,0.110148353,0.272006325,-0.043829984,0.081640163,0.390345881,0.36099648,0.312107545,0.176247435,0.347795613,0.281316532,0.24378096,0.429283595,0.348891368,0.313076107,0.522772684,0.608347531
aMTGr,0.29600836,0.353496469,0.269899599,0.438378638,NaN,0.495639595,0.274373918,0.40651874,0.295435729,0.362771183,-0.085434542,0.022072409,0.047541312,0.010524645,0.187099586,0.357999094,0.325125871,0.331617098,0.081637064,0.181296337,0.097621756,0.101271681,0.032200504,0.015911844,0.134468479,0.221568896,0.099014341,0.295897447,0.335270943,0.147262844,0.278586881,0.266988618,0.30033839,0.315218963,0.218786626,0.435680769
aMTGl,0.311215682,0.480609958,0.212976622,0.432451186,0.495639595,NaN,0.400041725,0.542087647,0.135710676,0.133842106,-0.040490593,-0.306465443,-0.017950639,0.031221056,0.225742839,0.020731169,0.293995453,0.349396972,0.046109764,0.198128796,0.115075811,0.048895864,0.007494312,0.023216418,0.097649584,0.274818174,0.179326266,0.179041548,0.227432096,0.034068911,0.365023147,0.130835284,0.358500497,0.269730843,0.360136463,0.534995406
pMTGr,0.632735854,0.542999388,0.706777394,0.570181782,0.274373918,0.400041725,NaN,0.660054621,0.342237195,0.300277894,0.140317964,0.211435826,0.249939574,0.521413412,0.212614038,0.261293943,0.40739133,0.281673258,0.104075921,0.093930426,-0.03427305,0.079934039,0.019551715,0.039346115,0.237734665,0.176939508,0.328086677,0.084093117,0.09112706,0.078545473,0.369510869,0.374558833,0.362630196,0.410666969,0.586075948,0.450949243
pMTGl,0.428774967,0.608832296,0.324049144,0.585924837,0.40651874,0.542087647,0.660054621,NaN,0.266052239,0.337553749,0.132443262,0.065514784,0.344108625,0.42508315,0.05835642,0.190663353,0.330895965,0.297755704,0.027571047,0.212253075,0.106038746,0.271453913,0.043701874,0.07492031,0.22010438,0.155029303,0.190287821,0.078894529,0.121719903,0.15487562,0.280606563,0.259767721,0.198462759,0.399849323,0.49171081,0.560925889
toMTGr,0.226388645,0.275692623,0.247013985,0.47766522,0.295435729,0.135710676,0.342237195,0.266052239,NaN,0.635977703,0.376293157,0.561711631,0.202895431,0.134261171,0.096823709,0.165961841,0.313703879,0.286009279,0.153886936,0.083503586,0.046623725,0.092332365,-0.053393856,-0.192244537,0.295221246,0.093187988,0.272147567,0.220166537,0.236141095,0.086710312,0.20290691,0.213321404,0.326091003,0.467522282,0.244118612,0.199311079
toMTGl,0.204011131,0.091368333,0.150588999,0.295811002,0.362771183,0.133842106,0.300277894,0.337553749,0.635977703,NaN,0.317820821,0.424110534,0.302840596,0.077577224,0.151440478,0.298377814,0.242345785,0.171673104,0.163491489,0.097569095,0.202854519,0.257736821,0.150567882,-0.012816352,0.07901438,0.099384422,0.153646055,0.226041175,0.040420383,0.116183056,0.223895339,0.459116201,0.440305206,0.285206675,0.292862247,0.222621523
