,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NA,1.104694108,1.057247925,1.15002001,0.346580649,0.443449439,0.762444153,0.56713642,-0.026741144,0.072032329,-0.019502587,-0.007287968,-0.076137601,0.11177736,0.220216299,0.140557981,0.741974262,0.819192387,0.122664284,-0.009239598,0.383714403,0.45511059,0.088027624,0.222416083,0.314921125,0.503179237,0.318830036,0.386805854,0.251139771,0.228523923,0.20527421,0.261258616,0.405680468,0.621303839,0.335939776,0.241497756
aSTGl,1.104694108,NA,1.122354647,1.330750914,0.549772465,0.702215601,0.99395117,0.723345867,0.036950691,0.021990387,-0.036765661,-0.049501656,-0.144600864,-0.060964386,0.253365594,0.147194945,0.60691562,0.865808218,0.022920913,-0.028717334,0.193320094,0.356360077,-0.117022845,0.212118404,0.36872779,0.584288416,0.20615751,0.303995556,0.288450346,0.170705008,0.164936677,0.230080739,0.360088174,0.480642838,0.343521144,0.497136767
pSTGr,1.057247925,1.122354647,NA,1.173655287,0.477982756,0.613814059,0.908541546,0.567889821,-0.000716605,-0.169307451,-0.155830489,-0.221725226,-0.208951697,-0.016643047,0.311442769,0.156526651,0.524454421,0.749063842,0.181535102,0.168746137,0.102778162,0.195654963,-0.039800026,0.118409963,0.369742425,0.395986183,0.194568865,0.251250013,0.225192149,0.281584347,0.187798079,0.224496682,0.120698862,0.337164887,0.406090484,0.451003359
pSTGl,1.15002001,1.330750914,1.173655287,NA,0.342596001,0.587839131,0.755983397,0.607788486,0.108226986,0.065738948,-0.113903759,-0.041408149,-0.179925933,-0.051947073,0.208415062,0.103693607,0.704526549,0.874552287,0.134820746,-0.024467387,0.319472735,0.357082937,-0.109958101,0.214964873,0.342231062,0.480753106,0.313820923,0.411475987,0.334254354,0.273083515,0.208362503,0.314317411,0.385186043,0.471370039,0.4130837,0.448483965
aMTGr,0.346580649,0.549772465,0.477982756,0.342596001,NA,0.510316341,0.413448694,0.435402138,0.033565059,0.333447436,0.129408583,0.370320329,0.122400637,0.166847995,0.237653075,0.318223024,0.156194949,0.268396585,-0.133240135,-0.214160694,-0.121527735,0.030716034,0.163721658,0.303209657,-0.032022636,0.272301723,-0.228721112,-0.03085023,0.033799212,0.259301751,-0.121499619,0.197027275,0.070969226,0.312154433,0.144742668,0.21898442
aMTGl,0.443449439,0.702215601,0.613814059,0.587839131,0.510316341,NA,0.594453569,0.60784894,0.270167597,0.013184803,0.034975511,-0.047294079,-0.199361738,0.224324736,0.3914641,0.255246017,0.211983968,0.39303203,-0.07777984,0.004446565,-0.083269565,0.0336151,-0.112583105,0.062996275,0.269756172,0.209553307,0.312389567,0.306895813,0.220278381,0.319374464,0.157704464,0.12024314,0.025141142,0.440273631,0.265754086,0.570043126
pMTGr,0.762444153,0.99395117,0.908541546,0.755983397,0.413448694,0.594453569,NA,1.046780338,0.194085448,0.160985455,0.102231946,0.004357539,0.085478926,0.211124527,0.410510603,0.115274132,0.525945883,0.55175964,0.042960248,0.057963165,-0.009844952,0.22827748,-0.207866081,0.207832758,0.263695038,0.47722689,0.145831186,0.293363546,0.215903724,0.193746516,0.397363553,0.14074202,0.206418031,0.85427562,0.642967438,0.505826398
pMTGl,0.56713642,0.723345867,0.567889821,0.607788486,0.435402138,0.60784894,1.046780338,NA,0.006048257,0.170530778,-0.038352967,0.015485157,0.15653396,0.234180843,0.526343949,0.381478294,0.274681704,0.369464163,0.045916761,0.098950363,-0.088194707,0.147821574,-0.150006159,0.002648981,0.363916686,0.485867663,0.166735578,0.112508354,0.12355083,0.029034742,0.414290225,0.078573082,0.137179125,0.686258685,0.426732053,0.620130651
toMTGr,-0.026741144,0.036950691,-0.000716605,0.108226986,0.033565059,0.270167597,0.194085448,0.006048257,NA,0.743459078,0.434241314,0.453978428,0.018821774,0.348162584,0.018805468,-0.185449313,0.329628797,0.166507784,0.161954736,0.197172143,0.370083646,0.291108542,-0.036028634,0.252560839,0.042288542,-0.160774932,0.264033761,0.162974367,0.444280812,0.228972738,0.254457857,0.368557171,0.34254151,0.446479766,0.390827757,0.264176311
toMTGl,0.072032329,0.021990387,-0.169307451,0.065738948,0.333447436,0.013184803,0.160985455,0.170530778,0.743459078,NA,0.644787201,0.659929224,0.526927948,0.392300548,-0.135274807,-0.124638311,0.396470241,0.228271922,-0.018047679,0.067082142,0.294270432,0.343291206,0.102038217,0.357523375,-0.088646649,-0.108862477,-0.056206368,-0.157840318,0.162475577,0.206494101,0.171004186,0.312154262,0.417497234,0.445556948,0.059763916,0.016121227
