,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
aSTGr,NaN,0.686063416,0.699260573,0.70116478,0.255250448,0.186422755,0.559736069,0.345703594,-0.138011262,-0.062447135,-0.134938161,-0.043045056,-0.183155349,0.024721151,0.117532977,0.082656157,0.578823633,0.534030748,0.054070943,-0.014667169,0.1552412,0.214763595,0.009487125,0.119246751,0.281100932,0.439476956,0.258380763,0.270684652,0.10939145,0.172044069,0.12374649,0.141960451,0.221150722,0.379647167,0.190228779,0.206800617
aSTGl,0.686063416,NaN,0.745235935,0.752575144,0.294525757,0.440606956,0.672578183,0.465771798,-0.012097555,0.026648877,0.004900492,-0.058905788,-0.117647636,-0.068677832,0.121271089,0.02401563,0.491512641,0.64919015,0.082338297,0.072481937,0.118223937,0.254586603,-0.03712452,0.152796976,0.351568731,0.387507668,0.249822612,0.234128292,0.23294461,0.212452626,0.150341108,0.24858695,0.262639483,0.338772675,0.296520936,0.368900388
pSTGr,0.699260573,0.745235935,NaN,0.749830672,0.174965897,0.292772329,0.650226495,0.361313438,-0.037204802,-0.142738994,-0.130089468,-0.11493708,-0.231622335,-0.066902379,0.080099548,0.05886181,0.450846359,0.598391771,0.08004473,0.08646242,0.05453728,0.122645084,-0.048034913,0.042567456,0.306578304,0.325177341,0.232635853,0.268083158,0.158103357,0.19534678,0.042128878,0.174929857,0.059380762,0.255185155,0.306392037,0.311389926
pSTGl,0.70116478,0.752575144,0.749830672,NaN,0.122420375,0.272190778,0.54786006,0.404851003,-0.049081717,0.048040483,-0.078800614,0.000225189,-0.233357242,-0.081535882,0.042188348,0.023643833,0.464573444,0.597643699,0.075931343,0.018808036,0.155657092,0.165062415,-0.091744356,0.173107088,0.31172314,0.358054967,0.300862686,0.325225551,0.223570816,0.250679335,0.077439031,0.242603067,0.213378954,0.252254194,0.315035594,0.336999334
aMTGr,0.255250448,0.294525757,0.174965897,0.122420375,NaN,0.384141655,0.297308043,0.350189044,0.040514191,0.289500074,0.052207505,0.130367153,0.092154929,0.162048114,0.33327612,0.131085992,0.116524552,0.106458864,0.027222903,-0.025431387,-0.086536177,0.008575331,0.169951951,0.133189968,0.032828368,0.147896376,-0.093914501,-0.022706004,0.017740486,0.1597148,0.157203986,0.138845374,0.200045882,0.190642675,0.134230206,0.178443346
aMTGl,0.186422755,0.440606956,0.292772329,0.272190778,0.384141655,NaN,0.387036654,0.466705499,0.218821822,0.089977205,0.079267532,-0.07438629,-0.01878556,0.157041413,0.315668239,0.194511639,0.094177072,0.157478296,0.074216838,0.104484038,-0.017703604,0.122164561,0.074137693,0.05260957,0.149756719,0.050589283,0.214571103,0.111694694,0.255161685,0.212532491,0.177509424,0.133853022,0.11876645,0.305242256,0.19490807,0.374587851
pMTGr,0.559736069,0.672578183,0.650226495,0.54786006,0.297308043,0.387036654,NaN,0.65989746,0.184176516,0.084403683,0.050937867,0.077011664,0.055987144,0.211589259,0.13500179,0.064949088,0.352872059,0.42772558,0.041519282,0.074988952,0.068749438,0.26217857,-0.110979649,0.083421218,0.255244023,0.378860806,0.236628273,0.305030787,0.230601995,0.252283773,0.243765663,0.133981831,0.140607934,0.551429701,0.479651802,0.451908237
pMTGl,0.345703594,0.465771798,0.361313438,0.404851003,0.350189044,0.466705499,0.65989746,NaN,0.103374855,0.184568005,0.006989362,0.085125581,0.120833716,0.275459187,0.322659285,0.295310774,0.118186964,0.1943231,0.068724049,0.102052176,-0.059545746,0.208631053,-0.018151543,-0.014122141,0.219478566,0.235519764,0.146358248,0.126327122,0.157767593,0.078990626,0.310057358,0.067538808,0.108865538,0.47248131,0.314413327,0.40883132
toMTGr,-0.138011262,-0.012097555,-0.037204802,-0.049081717,0.040514191,0.218821822,0.184176516,0.103374855,NaN,0.484377983,0.407758154,0.392272167,0.217459583,0.305204308,-0.053916425,-0.078435988,0.094742683,0.006217625,0.106926199,0.09175578,0.268634519,0.308149583,0.049146122,0.19536724,0.02497219,-0.225425372,0.21829567,0.069758574,0.337376767,0.152660044,0.154760644,0.274614609,0.156497678,0.342502562,0.254283613,0.152829291
toMTGl,-0.062447135,0.026648877,-0.142738994,0.048040483,0.289500074,0.089977205,0.084403683,0.184568005,0.484377983,NaN,0.457497011,0.467566128,0.389161598,0.2739536,-0.002359855,-0.096312853,0.178641766,0.119239101,0.036281032,0.072198116,0.156428953,0.193838427,0.120735096,0.278866733,-0.015617121,-0.134151966,0.038265302,-0.123095584,0.101460873,0.123774413,0.135079843,0.247222863,0.286392435,0.296674144,0.078129109,0.008561305
