,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,1.0634,1.2305,1.0073,0.34649,0.48316,0.91289,0.5968,0.26259,0.13798,-0.0054929,-0.10982,-0.040762,0.11761,-0.05777,-0.13801,0.82681,0.82279,0.18573,0.25978,0.021484,0.19193,0.31438,0.40137,0.007958,0.18102,0.055618,0.24223,-0.03575,-0.11349,0.195,0.25355,0.29518,0.22736,0.16832,0.24917,0.13744
aSTGl,1.0634,NaN,1.1473,1.0024,0.28593,0.53825,1.0547,0.56098,0.20548,0.059531,-0.05494,0.076547,-0.10323,0.10015,0.02152,-0.19427,0.70159,0.8635,0.098589,0.2872,0.035804,0.19375,0.33743,0.43032,0.065037,0.2634,0.14457,0.21927,0.015805,0.020658,0.20485,0.22901,0.35939,0.34928,0.20008,0.20987,0.20807
pSTGr,1.2305,1.1473,NaN,1.325,0.30836,0.59006,1.097,0.74423,0.27115,0.20013,0.027424,0.024239,-0.034583,0.1991,-0.085516,-0.2021,0.78864,0.87828,0.094689,0.19269,0.042138,0.21981,0.32844,0.44835,0.073136,0.24801,0.16063,0.27186,-0.027811,-0.041146,0.32447,0.41411,0.36852,0.37029,0.24467,0.31802,0.25715
pSTGl,1.0073,1.0024,1.325,NaN,0.23025,0.51485,0.82955,0.6205,0.25249,0.16192,-0.069967,0.021327,-0.050706,0.13638,-0.078938,-0.14094,0.8627,0.97964,0.20703,0.2439,0.059158,0.24051,0.30151,0.41524,0.095075,0.19971,0.1472,0.18765,-0.16732,-0.019182,0.24896,0.30184,0.31671,0.38405,0.27258,0.28725,0.17961
aMTGr,0.34649,0.28593,0.30836,0.23025,NaN,0.634,0.3695,0.29876,0.15551,0.018347,0.31246,0.36162,0.10093,0.22987,-0.05226,-0.13036,0.27182,0.16959,0.020888,0.11391,0.035125,0.12658,0.17103,0.30834,-0.056813,-0.12269,-0.054505,0.039371,0.048545,0.13212,0.20739,0.18188,0.15381,0.29023,0.096775,-0.094082,0.12035
aMTGl,0.48316,0.53825,0.59006,0.51485,0.634,NaN,0.60992,0.53456,-0.021241,0.077681,0.36921,0.50347,0.029548,0.10447,-0.2195,-0.41107,0.39549,0.33297,0.11224,0.21558,0.14378,0.25212,0.2699,0.4653,0.079808,0.13192,0.16369,0.18297,0.028092,0.12364,0.22572,0.33822,0.36119,0.40509,0.052277,0.034245,0.36675
pMTGr,0.91289,1.0547,1.097,0.82955,0.3695,0.60992,NaN,0.96907,0.42022,0.22943,0.24349,0.27058,0.30193,0.34107,-0.025433,-0.074976,0.60431,0.63895,0.12822,0.30369,0.19796,0.39623,0.57621,0.69167,0.17359,0.36134,0.19609,0.29978,0.0037768,-0.025218,0.26656,0.31386,0.38876,0.31599,0.29522,0.21497,0.39895
pMTGl,0.5968,0.56098,0.74423,0.6205,0.29876,0.53456,0.96907,NaN,0.27188,0.46888,0.21671,0.34163,0.33673,0.50031,-0.1128,0.026128,0.46528,0.4078,0.20133,0.24453,0.09471,0.42475,0.49051,0.82652,0.17639,0.3879,0.18505,0.33283,-0.079262,-0.048516,0.15901,0.29997,0.19716,0.34189,0.30671,0.16846,0.446
toMTGr,0.26259,0.20548,0.27115,0.25249,0.15551,-0.021241,0.42022,0.27188,NaN,0.60758,0.040011,-0.0064698,0.061535,0.24104,0.31608,0.38966,0.22562,0.18966,0.26908,0.27069,0.17725,0.18655,0.24478,0.075772,-0.018227,0.0072395,0.12002,0.16175,0.13006,-0.063518,0.097252,0.10878,0.0031168,0.1766,0.093701,0.010961,0.074434
toMTGl,0.13798,0.059531,0.20013,0.16192,0.018347,0.077681,0.22943,0.46888,0.60758,NaN,0.029107,0.12456,0.24906,0.31289,0.29495,0.45996,0.054513,0.084044,0.27918,0.21969,0.035176,0.15167,0.15656,0.23176,0.021622,0.096642,0.16439,0.2541,0.11268,0.061568,-0.01888,0.17084,-0.083265,0.20775,-0.077734,-0.039203,0.11901
