,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,1.0275,1.1588,0.81093,0.32547,0.44511,0.76054,0.52317,0.32814,0.19577,0.01464,-0.26558,0.058184,0.16835,-0.10974,-0.15385,0.66136,0.60379,0.16036,0.19013,0.1443,0.17093,0.19771,0.27315,0.10937,0.28833,0.04322,0.13586,0.012015,-0.035492,0.23728,0.17248,0.25487,0.14754,0.16226,0.12735,0.21889
aSTGl,1.0275,NaN,1.1339,0.99063,0.27249,0.46423,0.87338,0.47786,0.3036,0.13221,-0.02287,-0.045796,0.0068164,0.20844,0.0091161,-0.27788,0.72006,0.8215,0.10283,0.30166,0.17754,0.13872,0.28005,0.41434,0.14642,0.33007,0.19525,0.16982,0.12564,0.05548,0.23005,0.11573,0.2796,0.29054,0.19992,0.19231,0.34505
pSTGr,1.1588,1.1339,NaN,1.3255,0.38482,0.501,0.94317,0.60629,0.38979,0.28901,0.0025362,-0.080177,-0.045841,0.21954,-0.1212,-0.22612,0.68294,0.65787,0.093782,0.12754,0.11428,0.15703,0.25482,0.43282,0.21902,0.3469,0.16878,0.19521,-0.041548,-0.058062,0.27797,0.31353,0.29929,0.29326,0.24714,0.28237,0.35083
pSTGl,0.81093,0.99063,1.3255,NaN,0.20742,0.40279,0.69286,0.50912,0.39393,0.26421,-0.061972,-0.004435,0.017667,0.24289,-0.071994,-0.20253,0.75218,0.78815,0.15249,0.15774,0.19562,0.20788,0.23628,0.44727,0.23495,0.28319,0.17315,0.15356,-0.064352,0.062088,0.32247,0.27925,0.23116,0.3262,0.34553,0.26256,0.35039
aMTGr,0.32547,0.27249,0.38482,0.20742,NaN,0.71271,0.53204,0.28313,0.26752,0.049695,0.25431,0.3718,0.25307,0.34485,0.039805,0.14735,0.17045,0.13608,-0.069173,0.018125,0.10945,0.28924,0.24641,0.36242,0.044954,0.061984,0.07531,0.19928,-0.012439,0.01817,0.18937,0.084791,-0.066059,-0.020717,0.17454,0.0036209,0.27
aMTGl,0.44511,0.46423,0.501,0.40279,0.71271,NaN,0.60633,0.60137,0.074687,0.14597,0.26544,0.2964,0.17443,0.15019,0.044188,-0.098239,0.24807,0.16248,-0.03276,0.12924,0.13881,0.2659,0.19127,0.3931,0.15986,0.30111,0.23074,0.19475,0.0097107,0.061229,0.18417,0.11688,0.088495,0.10797,0.097769,0.058872,0.26792
pMTGr,0.76054,0.87338,0.94317,0.69286,0.53204,0.60633,NaN,0.84814,0.41091,0.30819,0.029705,0.094557,0.4022,0.46792,0.11578,-0.0072167,0.48056,0.46284,0.11565,0.29338,0.1152,0.29168,0.44829,0.56915,0.11448,0.37594,0.18195,0.29841,0.043882,0.063208,0.22693,0.21278,0.3214,0.17858,0.28703,0.22924,0.39226
pMTGl,0.52317,0.47786,0.60629,0.50912,0.28313,0.60137,0.84814,NaN,0.26281,0.49811,0.26601,0.23554,0.29383,0.39333,-0.017652,0.01381,0.41649,0.25331,0.1278,0.2349,0.03284,0.32548,0.47497,0.84265,0.12127,0.40311,0.19473,0.29111,0.01213,-0.05115,0.098491,0.22422,0.22633,0.29371,0.19139,0.10735,0.49785
toMTGr,0.32814,0.3036,0.38979,0.39393,0.26752,0.074687,0.41091,0.26281,NaN,0.66526,0.14489,0.014968,0.095383,0.27198,0.227,0.37013,0.43895,0.23978,0.3344,0.30504,0.37029,0.24136,0.32693,0.27871,0.072489,0.031114,0.22597,0.26161,0.16998,-0.1132,0.048219,0.0078628,-0.011692,0.30181,0.32642,0.14237,0.21323
toMTGl,0.19577,0.13221,0.28901,0.26421,0.049695,0.14597,0.30819,0.49811,0.66526,NaN,0.099333,-0.02793,0.38008,0.35006,0.28156,0.54248,0.28319,0.15754,0.45788,0.3601,0.19844,-0.03778,0.16564,0.24144,-0.0025811,0.047887,0.22499,0.30128,0.27511,0.037895,0.00037726,0.11294,0.13448,0.26263,0.032668,-0.10819,0.11952
