,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,1.0212,1.1071,1.0998,0.46691,0.31247,0.81316,0.57168,0.19974,0.069374,0.011219,0.11108,-0.10977,0.069432,-0.052037,-0.056545,0.6712,0.81887,0.1557,0.1705,0.061325,0.27371,0.24456,0.2953,0.015046,0.083099,0.042063,0.06449,0.072748,0.070376,0.22236,0.25991,0.30759,0.21631,0.089234,0.12602,0.2288
aSTGl,1.0212,NaN,1.0085,1.0565,0.27473,0.46065,0.84439,0.59479,0.23029,0.14201,-0.015933,-0.015818,-0.010761,-0.018138,-0.010303,0.070294,0.74858,0.91452,0.28819,0.39333,0.221,0.23926,0.39249,0.46972,0.14741,0.17359,0.08894,0.15154,0.084702,0.1948,0.2785,0.25867,0.41543,0.34404,0.23958,0.21626,0.24127
pSTGr,1.1071,1.0085,NaN,1.1813,0.28998,0.28216,0.85928,0.65835,0.26912,0.12237,-0.01708,0.02904,-0.076056,0.12942,-0.094951,-0.01692,0.75588,0.90612,0.19012,0.21586,0.077258,0.31725,0.34415,0.33858,0.17435,0.24299,0.10886,0.10659,0.0062292,0.05324,0.30531,0.25408,0.29268,0.20617,0.16109,0.24893,0.26269
pSTGl,1.0998,1.0565,1.1813,NaN,0.26561,0.43734,0.82971,0.74969,0.24033,0.14757,-0.001019,0.0039016,-0.14627,0.0057041,-0.082831,-0.048622,0.73247,0.79071,0.25208,0.23764,0.11146,0.25561,0.31306,0.40282,0.10637,0.17709,0.050634,0.077649,-0.0071063,0.10583,0.29874,0.24893,0.34088,0.24469,0.16395,0.21202,0.25581
aMTGr,0.46691,0.27473,0.28998,0.26561,NaN,0.67689,0.58255,0.48616,0.23587,0.16817,0.40397,0.4722,0.044928,0.28053,0.087282,0.0017338,0.24003,0.27393,0.11018,0.16925,0.24354,0.36473,0.29624,0.34929,0.1456,0.085259,0.14931,0.16902,0.064339,0.13355,0.37618,0.3641,0.26533,0.27398,0.1559,0.052382,0.36472
aMTGl,0.31247,0.46065,0.28216,0.43734,0.67689,NaN,0.61261,0.67402,0.23415,0.21425,0.23385,0.3925,0.10701,0.16089,0.12263,0.031195,0.20066,0.26012,0.050959,0.1219,0.13507,0.40549,0.25334,0.3718,0.11021,0.15533,0.074278,0.12369,0.031384,0.116,0.25684,0.32822,0.23491,0.29162,0.2177,0.074422,0.35238
pMTGr,0.81316,0.84439,0.85928,0.82971,0.58255,0.61261,NaN,1.0206,0.35381,0.20094,0.151,0.24704,0.24627,0.33166,0.043217,0.055734,0.56631,0.56254,0.1414,0.15466,0.21078,0.59949,0.59554,0.48877,0.26913,0.26065,0.15433,0.2142,0.062199,0.0063212,0.27577,0.34408,0.35611,0.34352,0.16372,0.21034,0.53195
pMTGl,0.57168,0.59479,0.65835,0.74969,0.48616,0.67402,1.0206,NaN,0.40699,0.35206,0.19753,0.41783,0.35775,0.49918,0.1773,0.20323,0.52187,0.45978,0.14563,0.17221,0.19714,0.57356,0.4962,0.61205,0.22755,0.26939,0.23357,0.239,-0.0033757,0.039947,0.19513,0.25103,0.19415,0.21909,0.14422,0.17096,0.55938
toMTGr,0.19974,0.23029,0.26912,0.24033,0.23587,0.23415,0.35381,0.40699,NaN,0.8781,0.023644,0.038524,0.27893,0.29079,0.58715,0.44584,0.22043,0.22074,0.32024,0.2482,0.20896,0.35467,0.3314,0.07216,0.08784,0.082518,0.21326,0.3154,0.17935,0.19886,0.13096,-0.015521,0.16649,0.058828,0.18316,0.12657,0.10432
toMTGl,0.069374,0.14201,0.12237,0.14757,0.16817,0.21425,0.20094,0.35206,0.8781,NaN,0.070548,0.17065,0.22389,0.19452,0.54713,0.50665,0.12973,0.15556,0.36226,0.3541,0.29071,0.35326,0.32401,0.17008,0.18992,0.1952,0.35159,0.44284,0.17079,0.21209,0.053082,-0.060634,0.086332,0.043529,0.144,0.11021,0.018672
aITGr,0.011219,-0.015933,-0.01708,-0.001019,0.40397,0.23385,0.151,0.19753,0.023644,0.070548,NaN,0.64244,0.035735,0.11472,-0.044437,-0.13403,0.080643,0.072056,0.26368,0.19129,0.26493,0.20255,0.2633,0.30006,0.14859,0.10336,0.19893,0.1619,0.15345,0.084328,0.18181,0.13413,0.15503,0.16026,0.10057,-0.045917,0.28771
aITGl,0.11108,-0.015818,0.02904,0.0039016,0.4722,0.3925,0.24704,0.41783,0.038524,0.17065,0.64244,NaN,0.14188,0.21712,0.0033458,-0.084736,0.11628,0.023514,0.15186,0.084955,0.26286,0.25419,0.23552,0.34213,0.23038,0.25173,0.25139,0.17653,0.069842,0.047041,0.16024,0.18129,0.11073,0.1022,0.070899,0.044898,0.36339
pITGr,-0.10977,-0.010761,-0.076056,-0.14627,0.044928,0.10701,0.24627,0.35775,0.27893,0.22389,0.035735,0.14188,NaN,0.49023,0.38539,0.4071,0.027296,-0.12127,0.055704,-0.026117,0.069413,0.25478,0.192,0.046245,-0.015496,-0.039093,0.19488,0.12366,0.079953,0.078525,-0.077934,-0.11208,-0.086427,0.027194,0.051193,0.0099229,0.21629
pITGl,0.069432,-0.018138,0.12942,0.0057041,0.28053,0.16089,0.33166,0.49918,0.29079,0.19452,0.11472,0.21712,0.49023,NaN,0.28489,0.36021,0.092773,0.020994,-0.0031512,-0.066203,0.13319,0.47183,0.25752,0.22603,0.17942,0.15736,0.11064,0.1574,0.080031,0.12974,0.0028442,-0.056029,-0.061229,-0.017524,0.09035,0.073865,0.44997
toITGr,-0.052037,-0.010303,-0.094951,-0.082831,0.087282,0.12263,0.043217,0.1773,0.58715,0.54713,-0.044437,0.0033458,0.38539,0.28489,NaN,0.78842,-0.086657,-0.0029704,0.21767,0.22272,0.034317,0.015996,0.12424,0.05165,-0.013199,-0.048713,0.158,0.21887,0.088651,0.23132,0.0072613,-0.21844,-0.025844,-0.11364,0.043358,0.020739,-0.20365
toITGl,-0.056545,0.070294,-0.01692,-0.048622,0.0017338,0.031195,0.055734,0.20323,0.44584,0.50665,-0.13403,-0.084736,0.4071,0.36021,0.78842,NaN,-0.079402,0.0036177,0.16164,0.16397,0.072696,0.21602,0.083977,0.070856,0.035645,0.029811,0.093281,0.20329,0.11556,0.14052,-0.005412,-0.071314,-0.017377,0.029656,0.063009,0.12709,0.032782
HGr,0.6712,0.74858,0.75588,0.73247,0.24003,0.20066,0.56631,0.52187,0.22043,0.12973,0.080643,0.11628,0.027296,0.092773,-0.086657,-0.079402,NaN,1.1958,0.55252,0.46887,0.49014,0.31233,0.38657,0.30944,0.16771,0.1799,0.32387,0.27975,0.091486,0.11457,0.22529,0.20814,0.29438,0.20335,0.20006,0.1909,0.283
HGl,0.81887,0.91452,0.90612,0.79071,0.27393,0.26012,0.56254,0.45978,0.22074,0.15556,0.072056,0.023514,-0.12127,0.020994,-0.0029704,0.0036177,1.1958,NaN,0.50255,0.58322,0.44393,0.32248,0.52031,0.43855,0.2469,0.31193,0.26476,0.37972,0.038009,0.13678,0.31741,0.26444,0.41576,0.28183,0.33976,0.31194,0.22012
ICr,0.1557,0.28819,0.19012,0.25208,0.11018,0.050959,0.1414,0.14563,0.32024,0.36226,0.26368,0.15186,0.055704,-0.0031512,0.21767,0.16164,0.55252,0.50255,NaN,1.2851,0.81003,0.19145,0.56477,0.32232,0.43536,0.36469,0.56423,0.49032,0.25062,0.28694,0.14773,-0.017808,0.40581,0.22929,0.32426,0.18978,0.019891
ICl,0.1705,0.39333,0.21586,0.23764,0.16925,0.1219,0.15466,0.17221,0.2482,0.3541,0.19129,0.084955,-0.026117,-0.066203,0.22272,0.16397,0.46887,0.58322,1.2851,NaN,0.94683,0.21316,0.52974,0.48449,0.39967,0.42711,0.55327,0.57776,0.13491,0.34685,0.19631,0.17076,0.4464,0.32197,0.34007,0.17629,0.021941
AC,0.061325,0.221,0.077258,0.11146,0.24354,0.13507,0.21078,0.19714,0.20896,0.29071,0.26493,0.26286,0.069413,0.13319,0.034317,0.072696,0.49014,0.44393,0.81003,0.94683,NaN,0.48385,0.467,0.52658,0.41294,0.43072,0.56173,0.59865,0.077152,0.21126,0.37028,0.27819,0.53349,0.40705,0.28754,0.35819,0.559
PC,0.27371,0.23926,0.31725,0.25561,0.36473,0.40549,0.59949,0.57356,0.35467,0.35326,0.20255,0.25419,0.25478,0.47183,0.015996,0.21602,0.31233,0.32248,0.19145,0.21316,0.48385,NaN,0.49344,0.46161,0.29771,0.32071,0.30121,0.38762,-0.083586,0.039111,0.19228,0.2497,0.31708,0.3291,0.24832,0.34799,0.69789
