,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,1.0072,1.119,0.98769,0.49982,0.31507,0.8501,0.50351,0.049802,0.0049666,0.18057,0.23563,-0.014281,0.086114,-0.13075,-0.12424,0.693,0.71694,0.32469,0.26545,0.21106,0.33781,0.32599,0.35698,0.026569,0.12383,0.1338,0.18656,0.13487,0.1422,0.26706,0.33064,0.33416,0.3086,0.21938,0.12518,0.26241
aSTGl,1.0072,NaN,1.0289,1.0654,0.37632,0.50961,0.85176,0.66932,0.10413,0.11691,0.16926,0.12916,0.064004,0.04719,-0.098243,-0.041706,0.77203,0.97023,0.39139,0.50256,0.40783,0.42595,0.5312,0.57359,0.23929,0.31176,0.17889,0.28261,0.038077,0.17116,0.40087,0.37306,0.38739,0.43314,0.37123,0.27073,0.35857
pSTGr,1.119,1.0289,NaN,1.0831,0.42294,0.33102,0.92788,0.67118,0.10049,0.1026,0.13568,0.11886,0.061323,0.18778,-0.10618,0.03586,0.80783,0.92621,0.32481,0.30534,0.14766,0.39164,0.40867,0.40691,0.17752,0.23021,0.19629,0.19149,0.028523,0.053654,0.36567,0.2832,0.31282,0.35401,0.24116,0.20071,0.2574
pSTGl,0.98769,1.0654,1.0831,NaN,0.41042,0.5132,0.8497,0.70654,0.088341,0.13414,0.11815,0.082668,-0.060651,0.036523,-0.13874,-0.074581,0.67283,0.70651,0.30946,0.28288,0.23911,0.39103,0.37682,0.39057,0.13423,0.23944,0.098609,0.1545,-0.042448,0.1475,0.31346,0.32269,0.34326,0.36128,0.3004,0.308,0.26528
aMTGr,0.49982,0.37632,0.42294,0.41042,NaN,0.76527,0.63806,0.55585,0.22404,0.17654,0.40198,0.46308,0.15917,0.25684,0.099993,0.059792,0.36913,0.34526,0.12668,0.16494,0.13744,0.33312,0.22233,0.25195,-0.084102,-0.013167,0.097758,0.16217,0.11533,0.16969,0.33701,0.29496,0.13337,0.27203,0.17397,0.040122,0.27996
aMTGl,0.31507,0.50961,0.33102,0.5132,0.76527,NaN,0.63954,0.73342,0.18162,0.18996,0.23199,0.38297,0.17038,0.2092,0.16032,0.029523,0.21973,0.23323,0.077241,0.14006,0.094909,0.33381,0.22927,0.19724,0.054005,0.22191,0.033325,0.13924,0.041638,0.1241,0.18392,0.17945,0.17273,0.28598,0.25157,0.025384,0.22036
pMTGr,0.8501,0.85176,0.92788,0.8497,0.63806,0.63954,NaN,1.0543,0.31365,0.30789,0.26519,0.303,0.38298,0.44102,0.099192,0.094253,0.66289,0.57191,0.29034,0.27411,0.33478,0.64409,0.60966,0.48109,0.20239,0.31469,0.30488,0.3772,0.074978,0.13229,0.28721,0.24593,0.40971,0.42943,0.30945,0.1814,0.41786
pMTGl,0.50351,0.66932,0.67118,0.70654,0.55585,0.73342,1.0543,NaN,0.26108,0.40765,0.35175,0.36187,0.3831,0.40232,0.17741,0.16494,0.54076,0.48009,0.21709,0.30758,0.21835,0.55727,0.50967,0.57026,0.24348,0.29113,0.2375,0.27123,0.084564,0.13107,0.19512,0.14123,0.19921,0.26342,0.29328,0.057303,0.46268
toMTGr,0.049802,0.10413,0.10049,0.088341,0.22404,0.18162,0.31365,0.26108,NaN,0.88199,0.065625,0.034788,0.2482,0.37531,0.63786,0.44736,0.18914,0.24618,0.28338,0.26378,0.19041,0.43891,0.31703,0.058462,0.064731,0.051193,0.21142,0.35033,0.047971,0.15485,0.12301,-0.085136,0.13109,0.09076,0.2241,0.020796,0.055593
toMTGl,0.0049666,0.11691,0.1026,0.13414,0.17654,0.18996,0.30789,0.40765,0.88199,NaN,0.15677,0.26185,0.23607,0.3088,0.54736,0.55177,0.27296,0.27346,0.48134,0.38364,0.32868,0.36459,0.42864,0.1317,0.12963,0.17047,0.3601,0.47874,0.19255,0.26794,-0.0043515,-0.19906,0.078983,0.052904,0.084144,0.029651,0.059762
