,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,0.98031,1.1207,0.94631,0.46156,0.38114,0.91054,0.6289,0.23504,0.14025,0.16379,0.14921,0.032775,0.33145,-0.075269,0.03739,0.75358,0.60789,0.38214,0.25419,0.35506,0.35034,0.49692,0.45918,0.16021,0.2513,0.23019,0.17545,-0.064739,0.082749,0.35509,0.34949,0.44788,0.17007,0.1747,0.23624,0.34978
aSTGl,0.98031,NaN,0.79372,1.0049,0.35491,0.50492,0.69055,0.60211,0.24318,0.054766,0.038437,0.0021689,0.012317,0.15077,0.034216,-0.053583,0.61533,0.6091,0.17504,0.30126,0.22807,0.27672,0.32296,0.50814,0.1161,0.23999,0.22095,0.2338,-0.049082,0.049753,0.38147,0.34854,0.50343,0.17494,0.24317,0.19071,0.29307
pSTGr,1.1207,0.79372,NaN,0.93816,0.37451,0.22098,0.86862,0.60291,0.22469,0.094057,0.08499,0.08422,-0.031865,0.28301,0.0047686,0.10456,0.6362,0.60542,0.24293,0.12116,0.26771,0.18163,0.42306,0.38733,0.14815,0.26189,0.12824,0.14186,-0.10465,0.081521,0.3626,0.22576,0.38724,0.14175,0.24845,0.25249,0.34234
pSTGl,0.94631,1.0049,0.93816,NaN,0.43875,0.41206,0.80018,0.71264,0.39899,0.1942,-0.022856,-0.030676,0.0055863,0.13783,0.001442,0.020331,0.65508,0.79681,0.27776,0.22677,0.24579,0.3264,0.43692,0.42584,0.20529,0.32075,0.22433,0.23737,0.0033115,0.02418,0.48304,0.42674,0.35416,0.23787,0.27194,0.32473,0.34144
aMTGr,0.46156,0.35491,0.37451,0.43875,NaN,0.61025,0.53629,0.56667,0.31717,0.33261,0.41564,0.31179,0.046844,0.11541,-0.069702,0.10391,0.28349,0.24821,0.18466,0.16426,0.29715,0.41829,0.41194,0.45621,0.23105,0.12052,0.072225,0.10507,0.072506,-0.053744,0.095678,0.26763,0.21298,0.36107,0.21915,0.20453,0.4323
aMTGl,0.38114,0.50492,0.22098,0.41206,0.61025,NaN,0.48933,0.61865,0.21903,0.14105,0.19991,0.41037,-0.066317,0.20617,-0.034465,-0.10187,0.28364,0.31021,0.10822,0.23267,0.32345,0.39535,0.32486,0.60561,0.2336,0.19143,0.2035,0.25262,0.066113,0.036474,0.21653,0.25448,0.24405,0.18864,0.10749,0.055563,0.49855
pMTGr,0.91054,0.69055,0.86862,0.80018,0.53629,0.48933,NaN,1.0568,0.35392,0.23605,0.17961,0.17636,0.21518,0.49918,0.088996,0.10386,0.49113,0.45161,0.23708,0.23396,0.27288,0.50906,0.63256,0.5511,0.22513,0.2448,0.22365,0.19195,-0.041526,0.00080177,0.33946,0.23952,0.41141,0.052351,0.22298,0.17283,0.45998
pMTGl,0.6289,0.60211,0.60291,0.71264,0.56667,0.61865,1.0568,NaN,0.20262,0.3567,0.1359,0.28508,0.33412,0.54974,0.12041,0.13348,0.40402,0.45853,0.18098,0.19927,0.15796,0.50164,0.56199,0.61997,0.20547,0.30405,0.11706,0.22696,0.011096,-0.029369,0.27712,0.23353,0.17311,0.1599,0.20114,0.23928,0.45714
toMTGr,0.23504,0.24318,0.22469,0.39899,0.31717,0.21903,0.35392,0.20262,NaN,0.69717,0.23519,0.066731,0.16069,0.18295,0.50387,0.49952,0.24187,0.3626,0.27255,0.2986,0.21332,0.43861,0.19052,0.22619,0.083473,0.13789,0.26666,0.3104,0.03971,0.042089,0.22277,0.13598,0.36359,0.080498,0.21206,0.2179,0.26287
toMTGl,0.14025,0.054766,0.094057,0.1942,0.33261,0.14105,0.23605,0.3567,0.69717,NaN,0.31076,0.1562,0.32078,0.16517,0.40219,0.47183,0.14808,0.17018,0.43648,0.51163,0.37018,0.23953,0.31357,0.18999,0.10579,0.0079522,0.19463,0.2479,0.098662,0.12476,0.090432,0.14277,0.11776,0.10494,0.14236,0.089941,0.1743
