,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
aSTGr,NaN,1.0753,0.98722,0.87566,0.44648,0.42975,0.85288,0.59225,0.15023,0.061446,0.16204,0.08385,-0.033031,0.33705,0.012002,-0.024275,0.65049,0.60173,0.26881,0.21325,0.31739,0.2819,0.43301,0.40239,0.15827,0.24548,0.25156,0.21458,0.040823,0.020497,0.38562,0.29513,0.24563,0.18278,0.10024,0.15742,0.2389
aSTGl,1.0753,NaN,0.79502,1.057,0.37268,0.58638,0.66737,0.61599,0.17927,0.02475,0.042849,0.10325,0.031355,0.1158,-0.0099818,-0.14616,0.69138,0.6876,0.24725,0.28656,0.29559,0.29789,0.39235,0.48431,0.1246,0.33086,0.31113,0.28497,0.016595,0.044089,0.42628,0.52378,0.36668,0.28396,0.11716,0.26983,0.34783
pSTGr,0.98722,0.79502,NaN,1.0274,0.37128,0.24913,0.85528,0.52313,0.25093,0.10957,0.14873,0.15388,-0.080501,0.1876,0.070899,-0.045274,0.52639,0.62711,0.18681,0.14749,0.26329,0.14362,0.47625,0.42489,0.23635,0.35016,0.25603,0.2398,0.20509,-0.00089425,0.46926,0.2934,0.28858,0.23759,0.23074,0.21293,0.3345
pSTGl,0.87566,1.057,1.0274,NaN,0.377,0.3753,0.72459,0.6683,0.38028,0.18246,-0.013468,0.015139,-0.010573,0.12518,0.030789,-0.04737,0.56987,0.65356,0.19692,0.14294,0.24853,0.23058,0.45735,0.38078,0.18345,0.31871,0.26588,0.25994,0.08055,0.011343,0.47065,0.49037,0.32947,0.25947,0.12529,0.19582,0.33109
aMTGr,0.44648,0.37268,0.37128,0.377,NaN,0.64513,0.74184,0.65404,0.14376,0.23576,0.44852,0.3557,0.16016,0.29658,0.031579,-0.1187,0.24029,0.13553,0.17264,0.21259,0.38114,0.41125,0.52173,0.52435,0.27829,0.19188,0.1251,0.11253,0.20721,-0.042634,0.13484,0.33711,0.065602,0.21137,0.1603,0.10789,0.49417
aMTGl,0.42975,0.58638,0.24913,0.3753,0.64513,NaN,0.48851,0.66231,0.12584,0.11795,0.17461,0.44712,-0.016955,0.17731,-0.059644,-0.15187,0.37706,0.34844,0.13481,0.24082,0.37496,0.39081,0.30043,0.62186,0.18652,0.25502,0.28831,0.27925,0.085557,-0.088936,0.26029,0.42354,0.14494,0.34117,0.13384,0.056184,0.56859
pMTGr,0.85288,0.66737,0.85528,0.72459,0.74184,0.48851,NaN,1.0278,0.36005,0.28975,0.31723,0.21371,0.28111,0.39305,0.18861,0.13092,0.46387,0.42202,0.21102,0.22464,0.28413,0.45491,0.57391,0.49135,0.26025,0.20175,0.27442,0.19202,0.075977,-0.069863,0.45612,0.24507,0.17437,0.11484,0.14872,0.063657,0.49454
pMTGl,0.59225,0.61599,0.52313,0.6683,0.65404,0.66231,1.0278,NaN,0.25107,0.44684,0.2317,0.31285,0.41845,0.54131,0.22951,0.1905,0.4704,0.45183,0.19426,0.28197,0.22969,0.51491,0.50518,0.56347,0.2679,0.34019,0.31398,0.40417,0.089752,0.016325,0.35985,0.35648,0.17169,0.29412,0.18838,0.20529,0.52058
toMTGr,0.15023,0.17927,0.25093,0.38028,0.14376,0.12584,0.36005,0.25107,NaN,0.72914,0.25181,0.10635,0.24547,0.14085,0.49442,0.36047,0.23973,0.35749,0.28087,0.30198,0.29209,0.37751,0.22791,0.19165,0.055781,0.16243,0.26607,0.27561,0.15969,0.15555,0.12772,0.031516,0.27335,0.023794,0.073699,0.095919,0.25942
toMTGl,0.061446,0.02475,0.10957,0.18246,0.23576,0.11795,0.28975,0.44684,0.72914,NaN,0.35816,0.10784,0.35165,0.16769,0.56627,0.46654,0.096922,0.18931,0.41335,0.51956,0.34026,0.23713,0.30624,0.21051,0.0091984,0.04815,0.18266,0.19072,0.16616,0.13313,0.044139,-0.051068,0.10506,0.063248,0.11085,0.11064,0.16357
aITGr,0.16204,0.042849,0.14873,-0.013468,0.44852,0.17461,0.31723,0.2317,0.25181,0.35816,NaN,0.62602,0.052823,0.21883,0.07351,-0.037736,0.14875,0.0033066,0.19482,0.22057,0.41456,0.33927,0.35081,0.22651,0.13753,0.035582,0.24165,0.21166,0.25325,-0.029196,0.11281,-0.080374,0.12538,0.007661,0.057005,0.041204,0.35016
aITGl,0.08385,0.10325,0.15388,0.015139,0.3557,0.44712,0.21371,0.31285,0.10635,0.10784,0.62602,NaN,0.067521,0.1825,0.012613,0.014645,0.1249,0.055837,0.015779,0.10207,0.24977,0.21725,0.15498,0.19296,0.15212,0.12,0.26056,0.17451,0.25815,-0.16885,0.08206,0.097199,0.067311,0.12787,0.1419,0.031084,0.33714
pITGr,-0.033031,0.031355,-0.080501,-0.010573,0.16016,-0.016955,0.28111,0.41845,0.24547,0.35165,0.052823,0.067521,NaN,0.58253,0.46501,0.35439,0.19328,0.11426,0.18082,0.28126,0.17315,0.33059,0.21108,0.20248,0.18541,0.11556,0.060101,0.14859,-0.064624,0.040871,0.023631,-0.14026,-0.062567,-0.016612,0.12281,0.113,0.25052
pITGl,0.33705,0.1158,0.1876,0.12518,0.29658,0.17731,0.39305,0.54131,0.14085,0.16769,0.21883,0.1825,0.58253,NaN,0.25388,0.34593,0.25998,0.17977,0.18667,0.20339,0.16946,0.35023,0.18585,0.20012,0.09186,0.13119,-0.071455,0.11672,-0.1033,-0.14517,0.15789,0.016125,0.015324,0.063595,0.15274,0.13726,0.20253
toITGr,0.012002,-0.0099818,0.070899,0.030789,0.031579,-0.059644,0.18861,0.22951,0.49442,0.56627,0.07351,0.012613,0.46501,0.25388,NaN,0.66722,0.061274,0.14295,0.27546,0.31492,0.14911,0.35104,0.084258,0.0061392,0.073985,0.083401,0.08584,0.12903,0.17916,0.20733,-0.11979,-0.12626,0.058489,-0.041047,0.13731,0.084155,0.057686
toITGl,-0.024275,-0.14616,-0.045274,-0.04737,-0.1187,-0.15187,0.13092,0.1905,0.36047,0.46654,-0.037736,0.014645,0.35439,0.34593,0.66722,NaN,0.0073154,0.061247,0.14156,0.18044,-0.024692,0.35675,-0.097464,-0.10222,-0.070432,-0.021958,-0.11142,0.050766,0.043133,-0.020243,0.069354,-0.03112,0.052833,-0.039653,0.0095114,0.13901,0.01814
HGr,0.65049,0.69138,0.52639,0.56987,0.24029,0.37706,0.46387,0.4704,0.23973,0.096922,0.14875,0.1249,0.19328,0.25998,0.061274,0.0073154,NaN,1.3374,0.73064,0.65134,0.71514,0.35436,0.43227,0.35977,0.24532,0.38456,0.4776,0.41018,0.019323,-0.012041,0.33421,0.33244,0.49447,0.39704,0.16233,0.42047,0.32359
HGl,0.60173,0.6876,0.62711,0.65356,0.13553,0.34844,0.42202,0.45183,0.35749,0.18931,0.0033066,0.055837,0.11426,0.17977,0.14295,0.061247,1.3374,NaN,0.71668,0.66157,0.64943,0.25408,0.39657,0.42373,0.18329,0.4091,0.45637,0.4321,0.07532,0.14569,0.32164,0.34001,0.39392,0.44631,0.26922,0.39893,0.31195
ICr,0.26881,0.24725,0.18681,0.19692,0.17264,0.13481,0.21102,0.19426,0.28087,0.41335,0.19482,0.015779,0.18082,0.18667,0.27546,0.14156,0.73064,0.71668,NaN,1.3803,1.0568,0.23777,0.56397,0.47517,0.31851,0.36981,0.61799,0.50155,0.19039,0.16113,0.1274,0.048288,0.4019,0.2427,0.26238,0.41326,0.25439
ICl,0.21325,0.28656,0.14749,0.14294,0.21259,0.24082,0.22464,0.28197,0.30198,0.51956,0.22057,0.10207,0.28126,0.20339,0.31492,0.18044,0.65134,0.66157,1.3803,NaN,0.93627,0.24207,0.54377,0.59004,0.29542,0.36181,0.49075,0.56799,0.15989,0.23425,0.14287,0.080014,0.39817,0.2856,0.1839,0.34884,0.25734
AC,0.31739,0.29559,0.26329,0.24853,0.38114,0.37496,0.28413,0.22969,0.29209,0.34026,0.41456,0.24977,0.17315,0.16946,0.14911,-0.024692,0.71514,0.64943,1.0568,0.93627,NaN,0.55771,0.59038,0.57518,0.59627,0.55041,0.69574,0.57252,0.2019,0.14095,0.2265,0.19479,0.48873,0.29395,0.25707,0.42997,0.71672
PC,0.2819,0.29789,0.14362,0.23058,0.41125,0.39081,0.45491,0.51491,0.37751,0.23713,0.33927,0.21725,0.33059,0.35023,0.35104,0.35675,0.35436,0.25408,0.23777,0.24207,0.55771,NaN,0.32793,0.26454,0.27884,0.32803,0.15411,0.2697,0.020845,-0.028633,0.17352,0.3193,0.24624,0.022259,0.12533,0.25753,0.7256
FOrbr,0.43301,0.39235,0.47625,0.45735,0.52173,0.30043,0.57391,0.50518,0.22791,0.30624,0.35081,0.15498,0.21108,0.18585,0.084258,-0.097464,0.43227,0.39657,0.56397,0.54377,0.59038,0.32793,NaN,0.95272,0.52179,0.38781,0.37508,0.3064,0.1252,0.049043,0.38271,0.29496,0.45235,0.3774,0.29021,0.23326,0.48159
FOrbl,0.40239,0.48431,0.42489,0.38078,0.52435,0.62186,0.49135,0.56347,0.19165,0.21051,0.22651,0.19296,0.20248,0.20012,0.0061392,-0.10222,0.35977,0.42373,0.47517,0.59004,0.57518,0.26454,0.95272,NaN,0.45504,0.41987,0.39058,0.40814,0.17867,0.15711,0.38065,0.33572,0.39361,0.44196,0.2841,0.24162,0.58731
caudater,0.15827,0.1246,0.23635,0.18345,0.27829,0.18652,0.26025,0.2679,0.055781,0.0091984,0.13753,0.15212,0.18541,0.09186,0.073985,-0.070432,0.24532,0.18329,0.31851,0.29542,0.59627,0.27884,0.52179,0.45504,NaN,1.0279,0.40044,0.43067,0.14319,0.076318,0.27717,0.25178,0.27892,0.1967,0.49336,0.46127,0.44033
caudatel,0.24548,0.33086,0.35016,0.31871,0.19188,0.25502,0.20175,0.34019,0.16243,0.04815,0.035582,0.12,0.11556,0.13119,0.083401,-0.021958,0.38456,0.4091,0.36981,0.36181,0.55041,0.32803,0.38781,0.41987,1.0279,NaN,0.53211,0.63591,0.10735,0.009465,0.31958,0.27518,0.41552,0.2791,0.5859,0.62508,0.47276
putamenr,0.25156,0.31113,0.25603,0.26588,0.1251,0.28831,0.27442,0.31398,0.26607,0.18266,0.24165,0.26056,0.060101,-0.071455,0.08584,-0.11142,0.4776,0.45637,0.61799,0.49075,0.69574,0.15411,0.37508,0.39058,0.40044,0.53211,NaN,1.2071,0.35803,0.32269,0.070953,0.10044,0.48709,0.28505,0.21096,0.28484,0.39662
putamenl,0.21458,0.28497,0.2398,0.25994,0.11253,0.27925,0.19202,0.40417,0.27561,0.19072,0.21166,0.17451,0.14859,0.11672,0.12903,0.050766,0.41018,0.4321,0.50155,0.56799,0.57252,0.2697,0.3064,0.40814,0.43067,0.63591,1.2071,NaN,0.32543,0.40188,0.10526,0.11594,0.49603,0.34257,0.25505,0.40529,0.41954
pallidumr,0.040823,0.016595,0.20509,0.08055,0.20721,0.085557,0.075977,0.089752,0.15969,0.16616,0.25325,0.25815,-0.064624,-0.1033,0.17916,0.043133,0.019323,0.07532,0.19039,0.15989,0.2019,0.020845,0.1252,0.17867,0.14319,0.10735,0.35803,0.32543,NaN,0.34833,-0.19317,-0.16217,0.094515,0.083905,-0.0384,0.075571,0.13591
palliduml,0.020497,0.044089,-0.00089425,0.011343,-0.042634,-0.088936,-0.069863,0.016325,0.15555,0.13313,-0.029196,-0.16885,0.040871,-0.14517,0.20733,-0.020243,-0.012041,0.14569,0.16113,0.23425,0.14095,-0.028633,0.049043,0.15711,0.076318,0.009465,0.32269,0.40188,0.34833,NaN,-0.30914,-0.28502,0.11451,-0.018639,-0.040758,0.053076,-0.12743
hippocampusr,0.38562,0.42628,0.46926,0.47065,0.13484,0.26029,0.45612,0.35985,0.12772,0.044139,0.11281,0.08206,0.023631,0.15789,-0.11979,0.069354,0.33421,0.32164,0.1274,0.14287,0.2265,0.17352,0.38271,0.38065,0.27717,0.31958,0.070953,0.10526,-0.19317,-0.30914,NaN,0.652,0.36419,0.3487,0.18055,0.23201,0.47129
hippocampusl,0.29513,0.52378,0.2934,0.49037,0.33711,0.42354,0.24507,0.35648,0.031516,-0.051068,-0.080374,0.097199,-0.14026,0.016125,-0.12626,-0.03112,0.33244,0.34001,0.048288,0.080014,0.19479,0.3193,0.29496,0.33572,0.25178,0.27518,0.10044,0.11594,-0.16217,-0.28502,0.652,NaN,0.43953,0.45768,0.079972,0.30944,0.43626
amygdalar,0.24563,0.36668,0.28858,0.32947,0.065602,0.14494,0.17437,0.17169,0.27335,0.10506,0.12538,0.067311,-0.062567,0.015324,0.058489,0.052833,0.49447,0.39392,0.4019,0.39817,0.48873,0.24624,0.45235,0.39361,0.27892,0.41552,0.48709,0.49603,0.094515,0.11451,0.36419,0.43953,NaN,0.56958,0.098798,0.38181,0.36948
amygdalal,0.18278,0.28396,0.23759,0.25947,0.21137,0.34117,0.11484,0.29412,0.023794,0.063248,0.007661,0.12787,-0.016612,0.063595,-0.041047,-0.039653,0.39704,0.44631,0.2427,0.2856,0.29395,0.022259,0.3774,0.44196,0.1967,0.2791,0.28505,0.34257,0.083905,-0.018639,0.3487,0.45768,0.56958,NaN,0.17132,0.28248,0.26815
NAccr,0.10024,0.11716,0.23074,0.12529,0.1603,0.13384,0.14872,0.18838,0.073699,0.11085,0.057005,0.1419,0.12281,0.15274,0.13731,0.0095114,0.16233,0.26922,0.26238,0.1839,0.25707,0.12533,0.29021,0.2841,0.49336,0.5859,0.21096,0.25505,-0.0384,-0.040758,0.18055,0.079972,0.098798,0.17132,NaN,0.48851,0.29357
