"","TR","SUBID","order","CONN_ID","stim_number","stim_name","artist","yearofrelease","liking","yearofbirth","familiarity","SSA","age_bin","TR_onset","second_onset","memory.evoking.","ID","PC_univ","HC_univ"
"1",1,"190904GHER1",1,4,1,"Life on Mars","David Bowie","1971",NA,1953,3,18,"adolescence",1,0.475,"",1,205.99,186.38
"2",1,"220914GHER1",1,26,5,"Long Distance Runaround","Yes","1971",3,1952,3,19,"",1,0.475,"",2,245.73,194.09
"3",1,"AEHR",1,20,15,"Nessun Dorma","Bocelli","",NA,1960,4,NA,"",1,0.475,"",3,231.16,215.01
"4",1,"ASHA",1,18,22,"Simmer","Hubert Ho","",NA,1951,1,NA,"",1,0.475,"",4,208.79,165.39
"5",1,"BFOR",1,22,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1944,4,20,"",1,0.475,"",5,210.83,163.41
"6",1,"CWEI",1,7,18,"Hoquetus II","Johannes Kretz","",NA,1941,1,NA,"",1,0.475,"",6,206.47,163.75
"7",1,"DFAI",1,12,5,"The Boxer","Simon & Garkfunkel","1970",NA,1953,4,17,"adolescence",1,0.475,"",7,247.86,205.46
"8",1,"DMET",1,30,17,"Light My Fire","The Doors","1967",4,1951,4,16,"adolescence",1,0.475,"y",8,211.08,189.03
"9",1,"DMUN",1,25,15,"Nessun Dorma","Bocelli","",3,1968,4,NA,"",1,0.475,"",9,211.72,175.55
"10",1,"EHER",1,16,23,"Vertigo Temporum","Hubert Ho","",NA,1958,1,NA,"",1,0.475,"",10,242.47,241
"11",1,"EKAS",1,28,18,"Hoquetus II","Johannes Kretz","",3,1957,1,NA,"",1,0.475,"",11,209.49,194.58
"12",1,"ELAR",1,21,11,"Hurt","Johnny Cash","",NA,1959,1,NA,"",1,0.475,"",12,245.04,180.3
"13",1,"EROS",1,9,19,"Reminiscences","Steven Yi","",NA,1961,1,NA,"",1,0.475,"",13,214,187.15
"14",1,"ETAL",1,34,13,"My Sweet Wyoming Home","Bill Staines","1975",3,1956,1,19,"",1,0.475,"",34,217.11,214.97
"15",1,"FKEE",1,1,22,"Simmer","Hubert Ho","",NA,1963,2,NA,"",1,0.475,"",14,228.19,189.68
"16",1,"GCAS",1,11,1,"Alabaster Box","CeCe Winans","1999",NA,1947,4,52,"",1,0.475,"",15,236.53,223.05
"17",1,"GSHA",1,19,14,"Nocturne in C Sharp minor","Chopin","",NA,1955,1,NA,"",1,0.475,"",16,222.43,175.21
"18",1,"JBAR",1,32,20,"There But for Fortune","Joan Baez","1964",3,1950,4,14,"adolescence",1,0.475,"",32,212.48,186.04
"19",1,"JDEN",1,27,17,"Bohlen-Pierce Pan Flute Folk Tune","Arturo Grolimund","",2,1968,1,NA,"",1,0.475,"",17,212.98,198.41
"20",1,"JKAY",1,13,24,"Manual Labor","Hubert Ho","",NA,1950,1,NA,"",1,0.475,"",18,232.27,202.63
"21",1,"JPRE",1,6,20,"Beyond the Horizon","Georg Hajdu","",1,1944,1,NA,"",1,0.475,"",19,208.61,170.7
"22",1,"JSCH",1,2,19,"Reminiscences","Steven Yi","",NA,1951,1,NA,"",1,0.475,"",20,226.64,209.29
"23",1,"LDIR",1,5,5,"Eet","Regina Spektor","2009",NA,1956,4,53,"",1,0.475,"",21,218.87,177.93
"24",1,"LGEN",1,3,22,"Simmer","Hubert Ho","",NA,1955,2,NA,"",1,0.475,"",22,216.7,148.07
"25",1,"LJAC",1,17,19,"Reminiscences","Steven Yi","",NA,1952,1,NA,"",1,0.475,"",23,245.21,191.71
"26",1,"LOLE",1,14,15,"Nessun Dorma","Bocelli","",NA,1946,1,NA,"",1,0.475,"",24,233.6,196.28
"27",1,"MBLO",1,8,6,"WakaJawaka","Frank Zappa","1972",NA,1953,4,19,"",1,0.475,"",25,231.63,208.56
"28",1,"MCHA",1,35,18,"Big Girls Don't Cry","Frankie Valli & The Four Seasons","1988",4,1954,4,34,"adulthood",1,0.475,"",31,228,232.53
"29",1,"MCOR",1,31,24,"Bicho de 7 Cabecas","Ze Ramalho","2017",4,1964,4,53,"adolescence",1,0.475,"",35,226.99,205.15
"30",1,"NLEN",1,24,10,"John Wayne Gacy Jr.","Sufjan Stevens","",0,1942,1,NA,"",1,0.475,"",26,197.16,170.06
"31",1,"OADE",1,29,18,"Should I Stay or Should I Go","The Clash","1982",4,1970,4,12,"childhood",1,0.475,"y",27,229.21,215.84
"32",1,"RLIE",1,33,15,"Nantucket Sleighride","Mountain","1971",4,1960,4,11,"childhood",1,0.475,"",33,223.19,191.66
"33",1,"SCAE",1,15,24,"Manual Labor","Hubert Ho","",NA,1965,1,NA,"",1,0.475,"",28,240.6,182.38
"34",1,"TCIE",1,10,21,"When the Moon Casts Shadows","Hubert Ho","",NA,1960,3,NA,"",1,0.475,"",29,213.62,167.94
"35",1,"TSTA",1,23,4,"One  ","Mary J Blige, U2","2005",NA,1959,4,46,"",1,0.475,"",30,238.71,190.33
"36",10,"190904GHER1",1,4,1,"Life on Mars","David Bowie","1971",NA,1953,3,18,"adolescence",1,0.475,"",1,204.89,190.15
"37",10,"220914GHER1",1,26,5,"Long Distance Runaround","Yes","1971",3,1952,3,19,"",1,0.475,"",2,245.21,191.11
"38",10,"AEHR",1,20,15,"Nessun Dorma","Bocelli","",NA,1960,4,NA,"",1,0.475,"",3,230.35,213.03
"39",10,"ASHA",1,18,22,"Simmer","Hubert Ho","",NA,1951,1,NA,"",1,0.475,"",4,209.36,165.96
"40",10,"BFOR",1,22,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1944,4,20,"",1,0.475,"",5,211.44,164.84
"41",10,"CWEI",1,7,18,"Hoquetus II","Johannes Kretz","",NA,1941,1,NA,"",1,0.475,"",6,207.32,162.24
"42",10,"DFAI",1,12,5,"The Boxer","Simon & Garkfunkel","1970",NA,1953,4,17,"adolescence",1,0.475,"",7,247.2,203.71
"43",10,"DMET",1,30,17,"Light My Fire","The Doors","1967",4,1951,4,16,"adolescence",1,0.475,"y",8,210.14,191.56
"44",10,"DMUN",1,25,15,"Nessun Dorma","Bocelli","",3,1968,4,NA,"",1,0.475,"",9,211.03,177.46
"45",10,"EHER",1,16,23,"Vertigo Temporum","Hubert Ho","",NA,1958,1,NA,"",1,0.475,"",10,241.52,243.77
"46",10,"EKAS",1,28,18,"Hoquetus II","Johannes Kretz","",3,1957,1,NA,"",1,0.475,"",11,208.31,193.45
"47",10,"ELAR",1,21,11,"Hurt","Johnny Cash","",NA,1959,1,NA,"",1,0.475,"",12,244.57,181.85
"48",10,"EROS",1,9,19,"Reminiscences","Steven Yi","",NA,1961,1,NA,"",1,0.475,"",13,212.31,185.81
"49",10,"ETAL",1,34,13,"My Sweet Wyoming Home","Bill Staines","1975",3,1956,1,19,"",1,0.475,"",34,215.72,213.02
"50",10,"FKEE",1,1,22,"Simmer","Hubert Ho","",NA,1963,2,NA,"",1,0.475,"",14,226.23,192.57
